Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,26,9,3,72:24,48,87,IT1,2015
2,AS Roma,38,19,13,6,54:31,23,70,IT1,2015
3,SS Lazio,38,21,6,11,71:38,33,69,IT1,2015
4,ACF Fiorentina,38,18,10,10,61:46,15,64,IT1,2015
5,SSC Napoli,38,18,9,11,70:54,16,63,IT1,2015
6,Genoa CFC,38,16,11,11,62:47,15,59,IT1,2015
7,UC Sampdoria,38,13,17,8,48:42,6,56,IT1,2015
8,Inter Milan,38,14,13,11,59:48,11,55,IT1,2015
9,Torino FC,38,14,12,12,48:45,3,54,IT1,2015
10,AC Milan,38,13,13,12,56:50,6,52,IT1,2015
11,US Palermo,38,12,13,13,53:55,-2,49,IT1,2015
12,US Sassuolo,38,12,13,13,49:57,-8,49,IT1,2015
13,Hellas Verona,38,11,13,14,49:65,-16,46,IT1,2015
14,Chievo Verona,38,10,13,15,28:41,-13,43,IT1,2015
15,Empoli FC ,38,8,18,12,46:52,-6,42,IT1,2015
16,Udinese Calcio,38,10,11,17,43:56,-13,41,IT1,2015
17,Atalanta BC,38,7,16,15,38:57,-19,37,IT1,2015
18,Cagliari Calcio,38,8,10,20,48:68,-20,34,IT1,2015
19,AC Cesena,38,4,12,22,36:73,-37,24,IT1,2015
20,Parma FC,38,6,8,24,33:75,-42,19,IT1,2015
