Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Wolverhampton Wanderers,46,27,9,10,80:52,28,90,GB2,2009
2,Birmingham City,46,23,14,9,54:37,17,83,GB2,2009
3,Sheffield United,46,22,14,10,64:39,25,80,GB2,2009
4,Reading FC,46,21,14,11,72:40,32,77,GB2,2009
5,Burnley FC,46,21,13,12,72:60,12,76,GB2,2009
6,Preston North End,46,21,11,14,66:54,12,74,GB2,2009
7,Cardiff City,46,19,17,10,65:53,12,74,GB2,2009
8,Swansea City,46,16,20,10,63:50,13,68,GB2,2009
9,Ipswich Town,46,17,15,14,62:53,9,66,GB2,2009
10,Bristol City,46,15,16,15,54:54,0,61,GB2,2009
11,Queens Park Rangers,46,15,16,15,42:44,-2,61,GB2,2009
12,Sheffield Wednesday,46,16,13,17,51:58,-7,61,GB2,2009
13,Watford FC,46,16,10,20,68:72,-4,58,GB2,2009
14,Doncaster Rovers,46,17,7,22,42:53,-11,58,GB2,2009
15,Crystal Palace,46,15,12,19,52:55,-3,57,GB2,2009
16,Blackpool FC,46,13,17,16,47:58,-11,56,GB2,2009
17,Coventry City,46,13,15,18,47:58,-11,54,GB2,2009
18,Derby County,46,14,12,20,55:67,-12,54,GB2,2009
19,Nottingham Forest,46,13,14,19,50:65,-15,53,GB2,2009
20,Barnsley FC,46,13,13,20,45:58,-13,52,GB2,2009
21,Plymouth Argyle,46,13,12,21,44:57,-13,51,GB2,2009
22,Norwich City,46,12,10,24,57:70,-13,46,GB2,2009
23,Southampton FC,46,10,15,21,46:69,-23,45,GB2,2009
24,Charlton Athletic,46,8,15,23,52:74,-22,39,GB2,2009
