Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Internazionale,38,25,9,4,70:32,38,84,IT1,2009
2,Juventus FC,38,21,11,6,69:37,32,74,IT1,2009
3,AC Milan,38,22,8,8,70:35,35,74,IT1,2009
4,ACF Fiorentina,38,21,5,12,53:38,15,68,IT1,2009
5,Genoa CFC,38,19,11,8,56:39,17,68,IT1,2009
6,AS Roma,38,18,9,11,64:61,3,63,IT1,2009
7,Udinese Calcio,38,16,10,12,61:50,11,58,IT1,2009
8,US Palermo,38,17,6,15,57:50,7,57,IT1,2009
9,Cagliari Calcio,38,15,8,15,49:50,-1,53,IT1,2009
10,SS Lazio,38,15,5,18,46:55,-9,50,IT1,2009
11,Atalanta BC,38,13,8,17,45:48,-3,47,IT1,2009
12,SSC Napoli,38,12,10,16,43:45,-2,46,IT1,2009
13,UC Sampdoria,38,11,13,14,49:52,-3,46,IT1,2009
14,AC Siena,38,12,8,18,33:44,-11,44,IT1,2009
15,Calcio Catania,38,12,7,19,41:51,-10,43,IT1,2009
16,Chievo Verona,38,8,14,16,35:49,-14,38,IT1,2009
17,Bologna FC 1909,38,9,10,19,43:62,-19,37,IT1,2009
18,Torino FC,38,8,10,20,37:61,-24,34,IT1,2009
19,Reggina Calcio,38,6,13,19,30:62,-32,31,IT1,2009
20,US Lecce,38,5,15,18,37:67,-30,30,IT1,2009
