Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,29,4,5,105:35,70,91,FR1,2019
2,LOSC Lille,38,22,9,7,68:33,35,75,FR1,2019
3,Olympique Lyon,38,21,9,8,70:47,23,72,FR1,2019
4,AS Saint-Étienne,38,19,9,10,59:41,18,66,FR1,2019
5,Olympique Marseille,38,18,7,13,60:52,8,61,FR1,2019
6,Montpellier HSC,38,15,14,9,53:42,11,59,FR1,2019
7,OGC Nice,38,15,11,12,30:35,-5,56,FR1,2019
8,Stade Reims,38,13,16,9,39:42,-3,55,FR1,2019
9,Nîmes Olympique,38,15,8,15,57:58,-1,53,FR1,2019
10,Stade Rennais FC,38,13,13,12,55:52,3,52,FR1,2019
11,RC Strasbourg Alsace,38,11,16,11,58:48,10,49,FR1,2019
12,FC Nantes,38,13,9,16,48:48,0,48,FR1,2019
13,Angers SCO,38,10,16,12,44:49,-5,46,FR1,2019
14,FC Girondins Bordeaux,38,10,11,17,34:42,-8,41,FR1,2019
15,Amiens SC,38,9,11,18,31:52,-21,38,FR1,2019
16,FC Toulouse,38,8,14,16,35:57,-22,38,FR1,2019
17,AS Monaco,38,8,12,18,38:57,-19,36,FR1,2019
18,Dijon FCO,38,9,7,22,31:60,-29,34,FR1,2019
19,SM Caen,38,7,12,19,29:54,-25,33,FR1,2019
20,EA Guingamp,38,5,12,21,28:68,-40,27,FR1,2019
