Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Valenciennes FC,38,21,11,6,51:28,23,74,FR2,2006
2,CS Sedan-Ardennes,38,19,14,5,50:32,18,71,FR2,2006
3,FC Lorient,38,18,12,8,49:26,23,66,FR2,2006
4,SM Caen,38,18,12,8,56:35,21,66,FR2,2006
5,Dijon FCO,38,16,12,10,47:32,15,60,FR2,2006
6,SC Bastia,38,16,10,12,47:40,7,58,FR2,2006
7,AC Le Havre,38,13,16,9,48:41,7,55,FR2,2006
8,US Créteil-Lusitanos,38,13,15,10,46:33,13,54,FR2,2006
9,EA Guingamp,38,12,14,12,36:32,4,50,FR2,2006
10,Grenoble Foot 38,38,12,12,14,42:45,-3,48,FR2,2006
11,FC Gueugnon,38,11,15,12,29:37,-8,48,FR2,2006
12,Montpellier HSC,38,12,11,15,34:43,-9,47,FR2,2006
13,FC Istres Ouest Provence ,38,12,11,15,33:45,-12,47,FR2,2006
14,Stade Reims,38,10,15,13,32:31,1,45,FR2,2006
15,LB Châteauroux,38,10,14,14,48:48,0,44,FR2,2006
16,Amiens SC,38,9,16,13,32:44,-12,43,FR2,2006
17,Stade Brestois 29,38,9,15,14,34:48,-14,42,FR2,2006
18,Clermont Foot Auvergne,38,10,8,20,35:59,-24,38,FR2,2006
19,Stade Lavallois,38,9,8,21,38:59,-21,35,FR2,2006
20,FC Sète 34,38,4,11,23,31:60,-29,23,FR2,2006
