Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Internazionale,38,30,7,1,80:34,46,97,IT1,2007
2,AS Roma,38,22,9,7,74:34,40,75,IT1,2007
3,SS Lazio,38,18,11,9,59:33,26,62,IT1,2007
4,AC Milan,38,19,12,7,57:36,21,61,IT1,2007
5,US Palermo,38,16,10,12,58:51,7,58,IT1,2007
6,ACF Fiorentina,38,21,10,7,62:31,31,58,IT1,2007
7,Empoli FC ,38,14,12,12,42:43,-1,54,IT1,2007
8,Atalanta BC,38,12,14,12,56:54,2,50,IT1,2007
9,UC Sampdoria,38,13,10,15,44:48,-4,49,IT1,2007
10,Udinese Calcio,38,12,10,16,49:55,-6,46,IT1,2007
11,AS Livorno,38,10,13,15,41:54,-13,43,IT1,2007
12,Parma FC,38,10,12,16,41:56,-15,42,IT1,2007
13,Calcio Catania,38,10,11,17,46:68,-22,41,IT1,2007
14,Reggina Calcio,38,12,15,11,52:50,2,40,IT1,2007
15,AC Siena,38,9,14,15,35:45,-10,40,IT1,2007
16,Torino FC,38,10,10,18,27:47,-20,40,IT1,2007
17,Cagliari Calcio,38,9,13,16,35:46,-11,40,IT1,2007
18,Chievo Verona,38,9,12,17,38:48,-10,39,IT1,2007
19,Ascoli Calcio 1898,38,5,12,21,36:67,-31,27,IT1,2007
20,FC Messina Peloro,38,5,11,22,37:69,-32,26,IT1,2007
