Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,25,7,2,72:18,54,82,PO1,2017
2,FC Porto,34,22,10,2,71:19,52,76,PO1,2017
3,Sporting CP,34,21,7,6,68:36,32,70,PO1,2017
4,Vitória Guimarães SC,34,18,8,8,50:39,11,62,PO1,2017
5,SC Braga,34,15,9,10,51:36,15,54,PO1,2017
6,CS Marítimo,34,13,11,10,34:32,2,50,PO1,2017
7,Rio Ave FC,34,14,7,13,41:39,2,49,PO1,2017
8,CD Feirense,34,14,6,14,31:45,-14,48,PO1,2017
9,Boavista FC,34,10,13,11,33:36,-3,43,PO1,2017
10,GD Estoril Praia,34,10,8,16,36:42,-6,38,PO1,2017
11,GD Chaves,34,8,14,12,35:42,-7,38,PO1,2017
12,Vitória Setúbal FC,34,10,8,16,30:39,-9,38,PO1,2017
13,FC Paços de Ferreira,34,8,12,14,32:45,-13,36,PO1,2017
14,CF Os Belenenses,34,9,9,16,27:45,-18,36,PO1,2017
15,Moreirense FC,34,8,9,17,33:48,-15,33,PO1,2017
16,CD Tondela,34,8,8,18,29:52,-23,32,PO1,2017
17,FC Arouca,34,9,5,20,33:57,-24,32,PO1,2017
18,CD Nacional,34,4,9,21,22:58,-36,21,PO1,2017
