Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,30,27,3,0,73:16,57,84,PO1,2011
2,SL Benfica,30,20,3,7,61:31,30,63,PO1,2011
3,Sporting CP,30,13,9,8,41:31,10,48,PO1,2011
4,SC Braga,30,13,7,10,45:33,12,46,PO1,2011
5,Vitória Guimarães SC,30,12,7,11,36:37,-1,43,PO1,2011
6,CD Nacional,30,11,9,10,28:31,-3,42,PO1,2011
7,FC Paços de Ferreira,30,10,11,9,35:42,-7,41,PO1,2011
8,Rio Ave FC,30,10,8,12,35:33,2,38,PO1,2011
9,CS Marítimo,30,9,8,13,33:32,1,35,PO1,2011
10,União de Leiria,30,9,8,13,25:38,-13,35,PO1,2011
11,SC Olhanense,30,7,13,10,24:34,-10,34,PO1,2011
12,Vitória Setúbal FC,30,8,10,12,29:42,-13,34,PO1,2011
13,SC Beira-Mar,30,7,12,11,32:36,-4,33,PO1,2011
14,Académica Coimbra,30,7,9,14,32:48,-16,30,PO1,2011
15,Portimonense SC,30,6,7,17,29:49,-20,25,PO1,2011
16,Naval 1º de Maio,30,5,8,17,26:51,-25,23,PO1,2011
