Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Volendam,38,22,11,5,90:46,44,77,NL2,2008
2,RKC Waalwijk,38,22,11,5,84:44,40,77,NL2,2008
3,FC Den Bosch,38,21,7,10,61:37,24,70,NL2,2008
4,FC Zwolle,38,18,13,7,70:42,28,67,NL2,2008
5,MVV Maastricht,38,16,12,10,66:50,16,60,NL2,2008
6,ADO Den Haag,38,16,10,12,58:50,8,58,NL2,2008
7,Helmond Sport,38,17,7,14,53:52,1,58,NL2,2008
8,TOP Oss,38,15,10,13,58:61,-3,55,NL2,2008
9,FC Emmen,38,14,11,13,61:74,-13,53,NL2,2008
10,Go Ahead Eagles,38,16,3,19,60:64,-4,51,NL2,2008
11,RBC Roosendaal,38,13,10,15,46:49,-3,49,NL2,2008
12,FC Dordrecht,38,12,11,15,59:52,7,47,NL2,2008
13,FC Omniworld,38,11,14,13,56:55,1,47,NL2,2008
14,SC Veendam,38,11,14,13,57:67,-10,47,NL2,2008
15,Stormvogels Telstar,38,14,4,20,41:51,-10,46,NL2,2008
16,AGOVV Apeldoorn,38,12,5,21,66:98,-32,41,NL2,2008
17,Fortuna Sittard,38,10,10,18,48:69,-21,40,NL2,2008
18,Cambuur-Leeuwarden bvo,38,10,9,19,50:68,-18,39,NL2,2008
19,FC Eindhoven,38,8,8,22,49:83,-34,32,NL2,2008
20,HFC Haarlem,38,5,14,19,39:60,-21,29,NL2,2008
