Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,De Graafschap Doetinchem,36,25,6,5,85:34,51,81,NL2,2010
2,SC Cambuur Leeuwarden,36,21,8,7,78:48,30,71,NL2,2010
3,Excelsior Rotterdam,36,20,5,11,77:49,28,65,NL2,2010
4,FC Zwolle,36,19,8,9,59:37,22,65,NL2,2010
5,Go Ahead Eagles,36,18,9,9,53:33,20,63,NL2,2010
6,AGOVV Apeldoorn,36,16,9,11,63:52,11,55,NL2,2010
7,FC Den Bosch,36,14,12,10,66:54,12,54,NL2,2010
8,Helmond Sport,36,16,6,14,63:53,10,54,NL2,2010
9,SC Veendam,36,14,11,11,57:48,9,52,NL2,2010
10,MVV Maastricht,36,14,7,15,59:67,-8,48,NL2,2010
11,RBC Roosendaal,36,12,10,14,47:53,-6,46,NL2,2010
12,FC Eindhoven,36,13,7,16,63:81,-18,46,NL2,2010
13,FC Dordrecht,36,13,4,19,54:59,-5,43,NL2,2010
14,FC Omniworld,36,11,7,18,40:65,-25,40,NL2,2010
15,FC Emmen,36,10,8,18,51:79,-28,38,NL2,2010
16,FC Volendam,36,8,11,17,61:81,-20,35,NL2,2010
17,Fortuna Sittard,36,7,9,20,31:57,-26,30,NL2,2010
18,SC Telstar,36,7,8,21,45:65,-20,29,NL2,2010
19,FC Oss,36,6,11,19,42:79,-37,29,NL2,2010
20,HFC Haarlem (- 2009),0,0,0,0,0:0,0,0,NL2,2010
