Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Olympique Lyon,38,24,9,5,64:27,37,81,FR1,2007
2,Olympique Marseille,38,19,7,12,53:38,15,64,FR1,2007
3,FC Toulouse,38,17,7,14,47:43,4,58,FR1,2007
4,Stade Rennais FC,38,14,15,9,38:30,8,57,FR1,2007
5,RC Lens,38,15,12,11,47:41,6,57,FR1,2007
6,FC Girondins Bordeaux,38,16,9,13,39:35,4,57,FR1,2007
7,FC Sochaux-Montbéliard,38,15,12,11,46:48,-2,57,FR1,2007
8,AJ Auxerre,38,13,15,10,41:41,0,54,FR1,2007
9,AS Monaco,38,13,12,13,45:38,7,51,FR1,2007
10,LOSC Lille,38,13,11,14,45:43,2,50,FR1,2007
11,AS Saint-Étienne,38,14,7,17,52:50,2,49,FR1,2007
12,Le Mans Union Club 72,38,11,16,11,45:46,-1,49,FR1,2007
13,AS Nancy-Lorraine,38,13,10,15,37:44,-7,49,FR1,2007
14,FC Lorient,38,12,13,13,33:40,-7,49,FR1,2007
15,Paris Saint-Germain,38,12,12,14,42:42,0,48,FR1,2007
16,OGC Nice,38,9,16,13,34:40,-6,43,FR1,2007
17,Valenciennes FC,38,11,10,17,36:48,-12,43,FR1,2007
18,ESTAC Troyes,38,9,12,17,39:54,-15,39,FR1,2007
19,CS Sedan-Ardennes,38,7,14,17,46:58,-12,35,FR1,2007
20,FC Nantes,38,7,13,18,29:52,-23,34,FR1,2007
