Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Ingolstadt 04,34,17,13,4,53:32,21,64,L2,2015
2,SV Darmstadt 98,34,15,14,5,44:26,18,59,L2,2015
3,Karlsruher SC,34,15,13,6,46:26,20,58,L2,2015
4,1.FC Kaiserslautern,34,14,14,6,45:31,14,56,L2,2015
5,RB Leipzig,34,13,11,10,39:31,8,50,L2,2015
6,Eintracht Braunschweig,34,15,5,14,44:41,3,50,L2,2015
7,1.FC Union Berlin,34,12,11,11,46:51,-5,47,L2,2015
8,1.FC Heidenheim 1846,34,12,10,12,49:44,5,46,L2,2015
9,1.FC Nuremberg,34,13,6,15,42:47,-5,45,L2,2015
10,Fortuna Düsseldorf,34,11,11,12,48:52,-4,44,L2,2015
11,VfL Bochum,34,9,15,10,53:55,-2,42,L2,2015
12,SV Sandhausen,34,10,12,12,32:37,-5,39,L2,2015
13,FSV Frankfurt,34,10,9,15,41:53,-12,39,L2,2015
14,SpVgg Greuther Fürth,34,8,13,13,34:42,-8,37,L2,2015
15,FC St. Pauli,34,10,7,17,40:51,-11,37,L2,2015
16,TSV 1860 Munich,34,9,9,16,41:51,-10,36,L2,2015
17,FC Erzgebirge Aue,34,9,9,16,32:47,-15,36,L2,2015
18,VfR Aalen,34,7,12,15,34:46,-12,31,L2,2015
