Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AS Monaco,38,21,13,4,64:33,31,76,FR2,2013
2,EA Guingamp,38,20,10,8,63:38,25,70,FR2,2013
3,FC Nantes,38,19,12,7,54:29,25,69,FR2,2013
4,SM Caen,38,17,12,9,48:28,20,63,FR2,2013
5,Angers SCO,38,17,10,11,52:39,13,61,FR2,2013
6,AC Le Havre,38,16,11,11,52:47,5,59,FR2,2013
7,Dijon FCO,38,15,14,9,52:49,3,59,FR2,2013
8,Nîmes Olympique,38,17,7,14,52:42,10,58,FR2,2013
9,AJ Auxerre,38,13,10,15,51:53,-2,49,FR2,2013
10,Tours FC,38,12,13,13,40:49,-9,49,FR2,2013
11,Athlétic Club Arlésien,38,10,16,12,36:48,-12,46,FR2,2013
12,RC Lens,38,9,18,11,39:53,-14,45,FR2,2013
13,FC Istres Ouest Provence ,38,11,10,17,38:45,-7,43,FR2,2013
14,Clermont Foot Auvergne 63,38,9,16,13,33:47,-14,43,FR2,2013
15,Chamois Niortais FC,38,8,18,12,39:42,-3,42,FR2,2013
16,LB Châteauroux,38,8,18,12,43:47,-4,42,FR2,2013
17,Stade Lavallois,38,10,12,16,47:54,-7,42,FR2,2013
18,Le Mans FC,38,11,7,20,39:62,-23,40,FR2,2013
19,CS Sedan-Ardennes,38,6,13,19,41:58,-17,31,FR2,2013
20,GFC Ajaccio,38,6,10,22,34:54,-20,28,FR2,2013
