Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Sporting CP,34,26,7,1,65:20,45,85,PO1,2021
2,FC Porto,34,24,8,2,74:29,45,80,PO1,2021
3,SL Benfica,34,23,7,4,69:27,42,76,PO1,2021
4,SC Braga,34,19,7,8,53:33,20,64,PO1,2021
5,FC Paços de Ferreira,34,15,8,11,40:41,-1,53,PO1,2021
6,CD Santa Clara,34,13,7,14,44:36,8,46,PO1,2021
7,Vitória Guimarães SC,34,12,7,15,37:44,-7,43,PO1,2021
8,Moreirense FC,34,10,13,11,37:43,-6,43,PO1,2021
9,FC Famalicão,34,10,10,14,40:48,-8,40,PO1,2021
10,B SAD,34,9,13,12,25:35,-10,40,PO1,2021
11,Gil Vicente FC,34,11,6,17,33:42,-9,39,PO1,2021
12,CD Tondela,34,10,6,18,36:57,-21,36,PO1,2021
13,Boavista FC,34,8,12,14,39:49,-10,36,PO1,2021
14,Portimonense SC,34,9,8,17,34:41,-7,35,PO1,2021
15,CS Marítimo,34,10,5,19,27:47,-20,35,PO1,2021
16,Rio Ave FC,34,7,13,14,25:40,-15,34,PO1,2021
17,SC Farense,34,7,10,17,31:48,-17,31,PO1,2021
18,CD Nacional,34,6,7,21,30:59,-29,25,PO1,2021
