Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Rio Ave FC,34,21,7,6,52:31,21,70,PO2,2022
2,Casa Pia AC,34,21,5,8,50:22,28,68,PO2,2022
3,GD Chaves,34,18,10,6,54:35,19,64,PO2,2022
4,CD Feirense,34,17,7,10,50:37,13,58,PO2,2022
5,SL Benfica B,34,17,6,11,61:44,17,57,PO2,2022
6,CD Nacional,34,14,9,11,52:44,8,51,PO2,2022
7,FC Penafiel,34,14,9,11,38:38,0,51,PO2,2022
8,Leixões SC,34,13,9,12,42:40,2,48,PO2,2022
9,CD Mafra,34,11,10,13,37:42,-5,43,PO2,2022
10,FC Porto B,34,10,12,12,45:49,-4,42,PO2,2022
11,SC Farense,34,10,11,13,40:42,-2,41,PO2,2022
12,UD Vilafranquense,34,10,11,13,41:47,-6,41,PO2,2022
13,CD Trofense,34,10,10,14,35:41,-6,40,PO2,2022
14,CF Estrela Amadora SAD,34,9,10,15,42:55,-13,37,PO2,2022
15,Académico Viseu FC,34,10,7,17,31:49,-18,37,PO2,2022
16,SC Covilhã,34,8,12,14,30:43,-13,36,PO2,2022
17,Varzim SC,34,8,11,15,25:39,-14,35,PO2,2022
18,Académica Coimbra,34,3,8,23,35:62,-27,17,PO2,2022
