Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,26,5,3,98:19,79,83,NL1,2022
2,PSV Eindhoven,34,26,3,5,86:42,44,81,NL1,2022
3,Feyenoord Rotterdam,34,22,5,7,76:34,42,71,NL1,2022
4,Twente Enschede FC,34,20,8,6,55:37,18,68,NL1,2022
5,AZ Alkmaar,34,18,7,9,64:44,20,61,NL1,2022
6,Vitesse Arnhem,34,15,6,13,42:51,-9,51,NL1,2022
7,FC Utrecht,34,12,11,11,51:46,5,47,NL1,2022
8,SC Heerenveen,34,11,8,15,37:50,-13,41,NL1,2022
9,SC Cambuur Leeuwarden,34,11,6,17,53:70,-17,39,NL1,2022
10,RKC Waalwijk,34,9,11,14,40:51,-11,38,NL1,2022
11,NEC Nijmegen,34,10,8,16,38:52,-14,38,NL1,2022
12,FC Groningen,34,9,9,16,41:55,-14,36,NL1,2022
13,Go Ahead Eagles,34,10,6,18,37:51,-14,36,NL1,2022
14,Sparta Rotterdam,34,8,11,15,30:48,-18,35,NL1,2022
15,Fortuna Sittard,34,10,5,19,36:67,-31,35,NL1,2022
16,Heracles Almelo,34,9,7,18,33:49,-16,34,NL1,2022
17,Willem II Tilburg,34,9,6,19,32:57,-25,33,NL1,2022
18,PEC Zwolle,34,7,6,21,26:52,-26,27,NL1,2022
