Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,LOSC Lille,38,24,11,3,64:23,41,83,FR1,2021
2,Paris Saint-Germain,38,26,4,8,86:28,58,82,FR1,2021
3,AS Monaco,38,24,6,8,76:42,34,78,FR1,2021
4,Olympique Lyon,38,22,10,6,81:43,38,76,FR1,2021
5,Olympique Marseille,38,16,12,10,54:47,7,60,FR1,2021
6,Stade Rennais FC,38,16,10,12,52:40,12,58,FR1,2021
7,RC Lens,38,15,12,11,55:54,1,57,FR1,2021
8,Montpellier HSC,38,14,12,12,60:62,-2,54,FR1,2021
9,OGC Nice,38,15,7,16,50:53,-3,52,FR1,2021
10,FC Metz,38,12,11,15,44:48,-4,47,FR1,2021
11,AS Saint-Étienne,38,12,10,16,42:54,-12,46,FR1,2021
12,FC Girondins Bordeaux,38,13,6,19,42:56,-14,45,FR1,2021
13,Angers SCO,38,12,8,18,40:58,-18,44,FR1,2021
14,Stade Reims,38,9,15,14,42:50,-8,42,FR1,2021
15,RC Strasbourg Alsace,38,11,9,18,49:58,-9,42,FR1,2021
16,FC Lorient,38,11,9,18,50:68,-18,42,FR1,2021
17,Stade Brestois 29,38,11,8,19,50:66,-16,41,FR1,2021
18,FC Nantes,38,9,13,16,47:55,-8,40,FR1,2021
19,Nîmes Olympique,38,9,8,21,40:71,-31,35,FR1,2021
20,Dijon FCO,38,4,9,25,25:73,-48,21,FR1,2021
