Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SPAL 2013,42,22,12,8,66:39,27,78,IT2,2017
2,Hellas Verona,42,20,14,8,64:40,24,74,IT2,2017
3,Frosinone Calcio,42,21,11,10,57:42,15,74,IT2,2017
4,AC Perugia Calcio,42,15,20,7,54:40,14,65,IT2,2017
5,Benevento Calcio,42,18,12,12,56:42,14,65,IT2,2017
6,AS Cittadella,42,19,6,17,60:54,6,63,IT2,2017
7,Carpi FC 1909,42,16,14,12,41:40,1,62,IT2,2017
8,Spezia Calcio,42,15,15,12,38:34,4,60,IT2,2017
9,Novara Calcio 1908,42,15,11,16,48:50,-2,56,IT2,2017
10,US Salernitana 1919,42,13,15,14,44:44,0,54,IT2,2017
11,Virtus Entella,42,13,15,14,54:51,3,54,IT2,2017
12,FC Bari 1908,42,13,14,15,39:44,-5,53,IT2,2017
13,AC Cesena,42,12,17,13,51:48,3,53,IT2,2017
14,US Avellino 1912,42,13,13,16,40:55,-15,50,IT2,2017
15,Brescia Calcio,42,11,17,14,49:58,-9,50,IT2,2017
16,Ascoli Picchio,42,10,19,13,44:48,-4,49,IT2,2017
17,FC Pro Vercelli 1892,42,10,19,13,34:45,-11,49,IT2,2017
18,Ternana Calcio,42,13,10,19,42:53,-11,49,IT2,2017
19,Trapani Calcio,42,10,14,18,45:55,-10,44,IT2,2017
20,Vicenza Calcio,42,9,14,19,33:52,-19,41,IT2,2017
21,US Latina Calcio,42,6,21,15,38:50,-12,35,IT2,2017
22,AC Pisa 1909,42,6,21,15,23:36,-13,35,IT2,2017
