Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,24,6,4,99:44,55,78,L1,2021
2,RB Leipzig,34,19,8,7,60:32,28,65,L1,2021
3,Borussia Dortmund,34,20,4,10,75:46,29,64,L1,2021
4,VfL Wolfsburg,34,17,10,7,61:37,24,61,L1,2021
5,Eintracht Frankfurt,34,16,12,6,69:53,16,60,L1,2021
6,Bayer 04 Leverkusen,34,14,10,10,53:39,14,52,L1,2021
7,1.FC Union Berlin,34,12,14,8,50:43,7,50,L1,2021
8,Borussia Mönchengladbach,34,13,10,11,64:56,8,49,L1,2021
9,VfB Stuttgart,34,12,9,13,56:55,1,45,L1,2021
10,SC Freiburg,34,12,9,13,52:52,0,45,L1,2021
11,TSG 1899 Hoffenheim,34,11,10,13,52:54,-2,43,L1,2021
12,1.FSV Mainz 05,34,10,9,15,39:56,-17,39,L1,2021
13,FC Augsburg,34,10,6,18,36:54,-18,36,L1,2021
14,Hertha BSC,34,8,11,15,41:52,-11,35,L1,2021
15,Arminia Bielefeld,34,9,8,17,26:52,-26,35,L1,2021
16,1. FC Köln,34,8,9,17,34:60,-26,33,L1,2021
17,SV Werder Bremen,34,7,10,17,36:57,-21,31,L1,2021
18,FC Schalke 04,34,3,7,24,25:86,-61,16,L1,2021
