Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,26,9,3,90:36,54,87,ES1,2019
2,Atlético de Madrid,38,22,10,6,55:29,26,76,ES1,2019
3,Real Madrid,38,21,5,12,63:46,17,68,ES1,2019
4,Valencia CF,38,15,16,7,51:35,16,61,ES1,2019
5,Getafe CF,38,15,14,9,48:35,13,59,ES1,2019
6,Sevilla FC,38,17,8,13,62:47,15,59,ES1,2019
7,RCD Espanyol Barcelona,38,14,11,13,48:50,-2,53,ES1,2019
8,Athletic Bilbao,38,13,14,11,41:45,-4,53,ES1,2019
9,Real Sociedad,38,13,11,14,45:46,-1,50,ES1,2019
10,Real Betis Balompié,38,14,8,16,44:52,-8,50,ES1,2019
11,Deportivo Alavés,38,13,11,14,39:50,-11,50,ES1,2019
12,SD Eibar,38,11,14,13,46:50,-4,47,ES1,2019
13,CD Leganés,38,11,12,15,37:43,-6,45,ES1,2019
14,Villarreal CF,38,10,14,14,49:52,-3,44,ES1,2019
15,Levante UD,38,11,11,16,59:66,-7,44,ES1,2019
16,Real Valladolid CF,38,10,11,17,32:51,-19,41,ES1,2019
17,Celta de Vigo,38,10,11,17,53:62,-9,41,ES1,2019
18,Girona FC,38,9,10,19,37:53,-16,37,ES1,2019
19,SD Huesca,38,7,12,19,43:65,-22,33,ES1,2019
20,Rayo Vallecano,38,8,8,22,41:70,-29,32,ES1,2019
