Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Juventus FC,38,23,15,0,68:20,48,84,IT1,2012
2,AC Milan,38,24,8,6,74:33,41,80,IT1,2012
3,Udinese Calcio,38,18,10,10,52:35,17,64,IT1,2012
4,SS Lazio,38,18,8,12,56:47,9,62,IT1,2012
5,SSC Napoli,38,16,13,9,66:46,20,61,IT1,2012
6,FC Internazionale,38,17,7,14,58:55,3,58,IT1,2012
7,AS Roma,38,16,8,14,60:54,6,56,IT1,2012
8,Parma FC,38,15,11,12,54:53,1,56,IT1,2012
9,Bologna FC 1909,38,13,12,13,41:43,-2,51,IT1,2012
10,Chievo Verona,38,12,13,13,35:45,-10,49,IT1,2012
11,Calcio Catania,38,11,15,12,47:52,-5,48,IT1,2012
12,Atalanta BC,38,13,13,12,41:43,-2,46,IT1,2012
13,ACF Fiorentina,38,11,13,14,37:43,-6,46,IT1,2012
14,AC Siena,38,11,11,16,45:45,0,44,IT1,2012
15,Cagliari Calcio,38,10,13,15,37:46,-9,43,IT1,2012
16,US Palermo,38,11,10,17,52:62,-10,43,IT1,2012
17,Genoa CFC,38,11,9,18,50:69,-19,42,IT1,2012
18,US Lecce,38,8,12,18,40:56,-16,36,IT1,2012
19,Novara Calcio 1908,38,7,11,20,35:65,-30,32,IT1,2012
20,AC Cesena,38,4,10,24,24:60,-36,22,IT1,2012
