Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Recreativo Huelva,42,22,12,8,67:32,35,78,ES2,2006
2,Gimnàstic de Tarragona,42,23,7,12,48:38,10,76,ES2,2006
3,Levante UD,42,20,14,8,53:39,14,74,ES2,2006
4,Ciudad de Murcia,42,20,12,10,53:42,11,72,ES2,2006
5,Lorca Deportiva CF,42,19,12,11,56:39,17,69,ES2,2006
6,UD Almería,42,20,7,15,54:43,11,67,ES2,2006
7,Xerez CD,42,18,13,11,60:46,14,67,ES2,2006
8,CD Numancia,42,18,9,15,50:55,-5,63,ES2,2006
9,Sporting Gijón,42,13,17,12,41:34,7,56,ES2,2006
10,Real Valladolid CF,42,14,13,15,54:54,0,55,ES2,2006
11,Real Madrid Castilla,42,16,7,19,55:50,5,55,ES2,2006
12,CD Castellón,42,14,12,16,46:50,-4,54,ES2,2006
13,Albacete Balompié,42,14,12,16,44:57,-13,54,ES2,2006
14,Elche CF,42,13,14,15,47:54,-7,53,ES2,2006
15,Polideportivo Ejido,42,15,8,19,43:50,-7,53,ES2,2006
16,Real Murcia CF,42,13,13,16,41:40,1,52,ES2,2006
17,Hércules CF,42,13,13,16,39:49,-10,52,ES2,2006
18,CD Tenerife,42,13,12,17,53:60,-7,51,ES2,2006
19,UE Lleida,42,12,10,20,43:53,-10,46,ES2,2006
20,Racing Ferrol,42,7,16,19,44:63,-19,37,ES2,2006
21,Málaga CF B,42,8,12,22,42:68,-26,36,ES2,2006
22,SD Eibar,42,6,17,19,28:45,-17,35,ES2,2006
