Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Heracles Almelo,36,23,6,7,67:34,33,75,NL2,2005
2,Sparta Rotterdam,36,21,11,4,93:39,54,74,NL2,2005
3,VVV-Venlo,36,18,8,10,56:36,20,62,NL2,2005
4,FC Zwolle,36,17,10,9,66:50,16,61,NL2,2005
5,FC Volendam,36,18,7,11,52:38,14,61,NL2,2005
6,Helmond Sport,36,16,9,11,61:44,17,57,NL2,2005
7,Stormvogels Telstar,36,15,11,10,58:46,12,56,NL2,2005
8,FC Dordrecht,36,14,9,13,42:51,-9,51,NL2,2005
9,Cambuur-Leeuwarden bvo,36,13,8,15,44:55,-11,47,NL2,2005
10,AGOVV Apeldoorn,36,15,1,20,55:60,-5,46,NL2,2005
11,SC Veendam,36,11,12,13,47:56,-9,45,NL2,2005
12,Excelsior Rotterdam,36,12,8,16,56:59,-3,44,NL2,2005
13,HFC Haarlem,36,11,9,16,47:56,-9,42,NL2,2005
14,TOP Oss,36,10,10,16,41:62,-21,40,NL2,2005
15,MVV Maastricht,36,9,12,15,40:46,-6,39,NL2,2005
16,FC Eindhoven,36,10,9,17,60:80,-20,39,NL2,2005
17,Go Ahead Eagles,36,9,11,16,40:60,-20,38,NL2,2005
18,Fortuna Sittard,36,8,10,18,46:67,-21,34,NL2,2005
19,SBV Emmen,36,7,9,20,39:71,-32,30,NL2,2005
