Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,27,6,5,105:35,70,87,ES1,2009
2,Real Madrid,38,25,3,10,83:52,31,78,ES1,2009
3,Sevilla FC,38,21,7,10,54:39,15,70,ES1,2009
4,Atlético de Madrid,38,20,7,11,80:57,23,67,ES1,2009
5,Villarreal CF,38,18,11,9,61:54,7,65,ES1,2009
6,Valencia CF,38,18,8,12,68:54,14,62,ES1,2009
7,Deportivo de La Coruña,38,16,10,12,48:47,1,58,ES1,2009
8,Málaga CF,38,15,10,13,55:59,-4,55,ES1,2009
9,RCD Mallorca,38,14,9,15,53:60,-7,51,ES1,2009
10,RCD Espanyol Barcelona,38,12,11,15,46:49,-3,47,ES1,2009
11,UD Almería,38,13,7,18,45:61,-16,46,ES1,2009
12,Racing Santander,38,12,10,16,49:48,1,46,ES1,2009
13,Athletic Bilbao,38,12,8,18,47:62,-15,44,ES1,2009
14,Sporting Gijón,38,14,1,23,47:79,-32,43,ES1,2009
15,CA Osasuna,38,10,13,15,41:47,-6,43,ES1,2009
16,Real Valladolid CF,38,12,7,19,46:58,-12,43,ES1,2009
17,Getafe CF,38,10,12,16,50:56,-6,42,ES1,2009
18,Real Betis Balompié,38,10,12,16,51:58,-7,42,ES1,2009
19,CD Numancia,38,10,5,23,38:69,-31,35,ES1,2009
20,Recreativo Huelva,38,8,9,21,34:57,-23,33,ES1,2009
