Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,30,24,6,0,70:14,56,78,PO1,2013
2,SL Benfica,30,24,5,1,77:20,57,77,PO1,2013
3,FC Paços de Ferreira,30,14,12,4,42:29,13,54,PO1,2013
4,SC Braga,30,16,4,10,60:44,16,52,PO1,2013
5,GD Estoril Praia,30,13,6,11,47:37,10,45,PO1,2013
6,Sporting CP,30,11,9,10,36:36,0,42,PO1,2013
7,Rio Ave FC,30,12,6,12,35:42,-7,42,PO1,2013
8,CD Nacional,30,11,7,12,45:51,-6,40,PO1,2013
9,Vitória Guimarães SC,30,11,7,12,36:47,-11,40,PO1,2013
10,CS Marítimo,30,9,11,10,34:45,-11,38,PO1,2013
11,Académica Coimbra,30,6,10,14,33:45,-12,28,PO1,2013
12,Vitória Setúbal FC,30,7,5,18,30:55,-25,26,PO1,2013
13,SC Olhanense,30,5,10,15,26:42,-16,25,PO1,2013
14,Gil Vicente FC,30,6,7,17,31:54,-23,25,PO1,2013
15,Moreirense FC,30,5,9,16,30:51,-21,24,PO1,2013
16,SC Beira-Mar,30,5,8,17,35:55,-20,23,PO1,2013
