Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,29,3,2,94:23,71,90,L1,2014
2,Borussia Dortmund,34,22,5,7,80:38,42,71,L1,2014
3,FC Schalke 04,34,19,7,8,63:43,20,64,L1,2014
4,Bayer 04 Leverkusen,34,19,4,11,60:41,19,61,L1,2014
5,VfL Wolfsburg,34,18,6,10,63:50,13,60,L1,2014
6,Borussia Mönchengladbach,34,16,7,11,59:43,16,55,L1,2014
7,1.FSV Mainz 05,34,16,5,13,52:54,-2,53,L1,2014
8,FC Augsburg,34,15,7,12,47:47,0,52,L1,2014
9,TSG 1899 Hoffenheim,34,11,11,12,72:70,2,44,L1,2014
10,Hannover 96,34,12,6,16,46:59,-13,42,L1,2014
11,Hertha BSC,34,11,8,15,40:48,-8,41,L1,2014
12,SV Werder Bremen,34,10,9,15,42:66,-24,39,L1,2014
13,Eintracht Frankfurt,34,9,9,16,40:57,-17,36,L1,2014
14,SC Freiburg,34,9,9,16,43:61,-18,36,L1,2014
15,VfB Stuttgart,34,8,8,18,49:62,-13,32,L1,2014
16,Hamburger SV,34,7,6,21,51:75,-24,27,L1,2014
17,1.FC Nuremberg,34,5,11,18,37:70,-33,26,L1,2014
18,Eintracht Braunschweig,34,6,7,21,29:60,-31,25,L1,2014
