Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,22,7,5,72:30,42,73,NL1,2011
2,Twente Enschede FC,34,21,8,5,65:34,31,71,NL1,2011
3,PSV Eindhoven,34,20,9,5,79:34,45,69,NL1,2011
4,AZ Alkmaar,34,17,8,9,55:44,11,59,NL1,2011
5,FC Groningen,34,17,6,11,65:52,13,57,NL1,2011
6,Roda JC Kerkrade,34,14,13,7,65:50,15,55,NL1,2011
7,ADO Den Haag,34,16,6,12,63:55,8,54,NL1,2011
8,Heracles Almelo,34,14,7,13,65:56,9,49,NL1,2011
9,FC Utrecht,34,13,8,13,55:51,4,47,NL1,2011
10,Feyenoord Rotterdam,34,12,8,14,53:54,-1,44,NL1,2011
11,NEC Nijmegen,34,10,13,11,57:56,1,43,NL1,2011
12,SC Heerenveen,34,10,11,13,60:54,6,41,NL1,2011
13,NAC Breda,34,12,5,17,44:60,-16,40,NL1,2011
14,De Graafschap Doetinchem,34,9,11,14,31:56,-25,38,NL1,2011
15,Vitesse Arnhem,34,9,8,17,42:61,-19,35,NL1,2011
16,Excelsior Rotterdam,34,10,5,19,45:66,-21,35,NL1,2011
17,VVV-Venlo,34,6,3,25,34:76,-42,21,NL1,2011
18,Willem II Tilburg,34,3,6,25,37:98,-61,15,NL1,2011
