Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,29,6,3,108:29,79,93,FR1,2018
2,AS Monaco,38,24,8,6,85:45,40,80,FR1,2018
3,Olympique Lyon,38,23,9,6,87:43,44,78,FR1,2018
4,Olympique Marseille,38,22,11,5,80:47,33,77,FR1,2018
5,Stade Rennais FC,38,16,10,12,50:44,6,58,FR1,2018
6,FC Girondins Bordeaux,38,16,7,15,53:48,5,55,FR1,2018
7,AS Saint-Étienne,38,15,10,13,47:50,-3,55,FR1,2018
8,OGC Nice,38,15,9,14,53:52,1,54,FR1,2018
9,FC Nantes,38,14,10,14,36:41,-5,52,FR1,2018
10,Montpellier HSC,38,11,18,9,36:33,3,51,FR1,2018
11,Dijon FCO,38,13,9,16,55:73,-18,48,FR1,2018
12,EA Guingamp,38,12,11,15,48:59,-11,47,FR1,2018
13,Amiens SC,38,12,9,17,37:42,-5,45,FR1,2018
14,Angers SCO,38,9,14,15,42:52,-10,41,FR1,2018
15,RC Strasbourg Alsace,38,9,11,18,44:67,-23,38,FR1,2018
16,SM Caen,38,10,8,20,27:52,-25,38,FR1,2018
17,LOSC Lille,38,10,8,20,41:67,-26,38,FR1,2018
18,FC Toulouse,38,9,10,19,38:54,-16,37,FR1,2018
19,ESTAC Troyes,38,9,6,23,32:59,-27,33,FR1,2018
20,FC Metz,38,6,8,24,34:76,-42,26,FR1,2018
