Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,29,4,5,112:29,83,91,ES1,2016
2,Real Madrid,38,28,6,4,110:34,76,90,ES1,2016
3,Atlético de Madrid,38,28,4,6,63:18,45,88,ES1,2016
4,Villarreal CF,38,18,10,10,44:35,9,64,ES1,2016
5,Athletic Bilbao,38,18,8,12,58:45,13,62,ES1,2016
6,Celta de Vigo,38,17,9,12,51:59,-8,60,ES1,2016
7,Sevilla FC,38,14,10,14,51:50,1,52,ES1,2016
8,Málaga CF,38,12,12,14,38:35,3,48,ES1,2016
9,Real Sociedad,38,13,9,16,45:48,-3,48,ES1,2016
10,Real Betis Balompié,38,11,12,15,34:52,-18,45,ES1,2016
11,UD Las Palmas,38,12,8,18,45:53,-8,44,ES1,2016
12,Valencia CF,38,11,11,16,46:48,-2,44,ES1,2016
13,SD Eibar,38,11,10,17,49:61,-12,43,ES1,2016
14,RCD Espanyol Barcelona,38,12,7,19,40:74,-34,43,ES1,2016
15,Deportivo de La Coruña,38,8,18,12,45:61,-16,42,ES1,2016
16,Granada CF,38,10,9,19,46:69,-23,39,ES1,2016
17,Sporting Gijón,38,10,9,19,40:62,-22,39,ES1,2016
18,Rayo Vallecano,38,9,11,18,52:73,-21,38,ES1,2016
19,Getafe CF,38,9,9,20,37:67,-30,36,ES1,2016
20,Levante UD,38,8,8,22,37:70,-33,32,ES1,2016
