Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Atalanta BC,42,24,9,9,61:39,22,81,IT2,2006
2,Calcio Catania,42,22,12,8,67:42,25,78,IT2,2006
3,Torino FC,42,21,13,8,51:31,20,76,IT2,2006
4,AC Mantova 1911,42,18,15,9,46:35,11,69,IT2,2006
5,Modena FC,42,17,16,9,59:41,18,67,IT2,2006
6,AC Cesena,42,18,12,12,66:54,12,66,IT2,2006
7,AC Arezzo,42,17,15,10,45:34,11,66,IT2,2006
8,Bologna FC 1909,42,16,16,10,55:42,13,64,IT2,2006
9,FC Crotone,42,18,9,15,56:48,8,63,IT2,2006
10,Brescia Calcio,42,15,15,12,54:44,10,60,IT2,2006
11,Delfino Pescara 1936,42,14,12,16,41:50,-9,54,IT2,2006
12,Piacenza FC,42,13,15,14,56:52,4,54,IT2,2006
13,AS Bari,42,11,18,13,43:47,-4,51,IT2,2006
14,US Triestina,42,12,15,15,44:51,-7,51,IT2,2006
15,Hellas Verona,42,10,19,13,42:41,1,49,IT2,2006
16,Vicenza Calcio,42,13,10,19,38:49,-11,49,IT2,2006
17,Rimini FC,42,11,15,16,42:49,-7,48,IT2,2006
18,UC AlbinoLeffe,42,10,16,16,38:52,-14,46,IT2,2006
19,US Avellino,42,11,13,18,42:62,-20,46,IT2,2006
20,Ternana Calcio,42,7,18,17,36:58,-22,39,IT2,2006
21,US Cremonese,42,6,12,24,36:60,-24,30,IT2,2006
22,US Catanzaro,42,7,7,28,26:63,-37,28,IT2,2006
