Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CD Trofense,30,13,13,4,35:22,13,52,PO2,2008
2,Rio Ave FC,30,13,12,5,38:26,12,51,PO2,2008
3,FC Vizela,30,13,11,6,40:22,18,50,PO2,2008
4,Gil Vicente FC,30,13,11,6,43:34,9,50,PO2,2008
5,SC Olhanense,30,12,9,9,33:33,0,45,PO2,2008
6,SC Beira-Mar,30,10,12,8,30:32,-2,42,PO2,2008
7,GD Estoril Praia,30,11,8,11,41:38,3,41,PO2,2008
8,Desportivo Aves (- 2020),30,10,9,11,43:39,4,39,PO2,2008
9,Varzim SC,30,9,11,10,29:27,2,38,PO2,2008
10,Portimonense SC,30,8,13,9,26:30,-4,37,PO2,2008
11,CD Santa Clara,30,10,7,13,31:50,-19,37,PO2,2008
12,Gondomar SC,30,8,11,11,37:37,0,35,PO2,2008
13,SC Freamunde,30,9,8,13,42:49,-7,35,PO2,2008
14,CD Feirense,30,8,9,13,25:27,-2,33,PO2,2008
15,FC Penafiel,30,7,8,15,28:39,-11,29,PO2,2008
16,CD Fátima,30,5,10,15,25:41,-16,25,PO2,2008
