Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,27,4,7,89:40,49,85,FR1,2023
2,RC Lens,38,25,9,4,68:29,39,84,FR1,2023
3,Olympique Marseille,38,22,7,9,67:40,27,73,FR1,2023
4,Stade Rennais FC,38,21,5,12,69:39,30,68,FR1,2023
5,LOSC Lille,38,19,10,9,65:44,21,67,FR1,2023
6,AS Monaco,38,19,8,11,70:58,12,65,FR1,2023
7,Olympique Lyon,38,18,8,12,65:47,18,62,FR1,2023
8,Clermont Foot 63,38,17,8,13,45:49,-4,59,FR1,2023
9,OGC Nice,38,15,13,10,48:37,11,58,FR1,2023
10,FC Lorient,38,15,10,13,52:53,-1,55,FR1,2023
11,Stade Reims,38,12,15,11,45:45,0,51,FR1,2023
12,Montpellier HSC,38,15,5,18,65:62,3,50,FR1,2023
13,FC Toulouse,38,13,9,16,51:57,-6,48,FR1,2023
14,Stade Brestois 29,38,11,11,16,44:54,-10,44,FR1,2023
15,RC Strasbourg Alsace,38,9,13,16,51:59,-8,40,FR1,2023
16,FC Nantes,38,7,15,16,37:55,-18,36,FR1,2023
17,AJ Auxerre,38,8,11,19,35:63,-28,35,FR1,2023
18,AC Ajaccio,38,7,5,26,23:74,-51,26,FR1,2023
19,ESTAC Troyes,38,4,12,22,45:81,-36,24,FR1,2023
20,Angers SCO,38,4,6,28,33:81,-48,18,FR1,2023
