Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Paços de Ferreira,34,23,5,6,50:21,29,74,PO2,2019
2,FC Famalicão,34,21,6,7,57:34,23,69,PO2,2019
3,GD Estoril Praia,34,16,6,12,49:42,7,54,PO2,2019
4,SL Benfica B,34,15,7,12,47:42,5,52,PO2,2019
5,Académica Coimbra,34,15,6,13,36:37,-1,51,PO2,2019
6,SC Covilhã,34,13,10,11,42:37,5,49,PO2,2019
7,Leixões SC,34,12,9,13,35:36,-1,45,PO2,2019
8,FC Penafiel,34,13,6,15,49:48,1,45,PO2,2019
9,FC Porto B,34,11,11,12,41:42,-1,44,PO2,2019
10,SC Farense,34,11,10,13,39:35,4,43,PO2,2019
11,Académico Viseu FC,34,12,7,15,49:54,-5,43,PO2,2019
12,UD Oliveirense,34,11,10,13,44:49,-5,43,PO2,2019
13,CD Cova Piedade,34,11,9,14,25:42,-17,42,PO2,2019
14,CD Mafra,34,10,11,13,40:44,-4,41,PO2,2019
15,Varzim SC,34,11,8,15,25:37,-12,41,PO2,2019
16,FC Arouca,34,10,10,14,40:45,-5,40,PO2,2019
17,SC Braga B,34,11,4,19,38:45,-7,37,PO2,2019
18,Vitória Guimarães SC B,34,6,13,15,41:57,-16,31,PO2,2019
