Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,20,11,3,69:28,41,71,NL1,2014
2,Feyenoord Rotterdam,34,20,7,7,76:40,36,67,NL1,2014
3,Twente Enschede FC,34,17,12,5,72:37,35,63,NL1,2014
4,PSV Eindhoven,34,18,5,11,60:45,15,59,NL1,2014
5,SC Heerenveen,34,16,9,9,72:51,21,57,NL1,2014
6,Vitesse Arnhem,34,15,10,9,65:49,16,55,NL1,2014
7,FC Groningen,34,14,9,11,57:53,4,51,NL1,2014
8,AZ Alkmaar,34,13,8,13,54:50,4,47,NL1,2014
9,ADO Den Haag,34,12,7,15,45:64,-19,43,NL1,2014
10,FC Utrecht,34,11,8,15,46:65,-19,41,NL1,2014
11,PEC Zwolle,34,9,13,12,47:49,-2,40,NL1,2014
12,SC Cambuur Leeuwarden,34,10,9,15,40:50,-10,39,NL1,2014
13,Go Ahead Eagles,34,10,8,16,45:69,-24,38,NL1,2014
14,Heracles Almelo,34,10,7,17,45:59,-14,37,NL1,2014
15,NAC Breda,34,8,11,15,43:54,-11,35,NL1,2014
16,RKC Waalwijk,34,7,11,16,44:64,-20,32,NL1,2014
17,NEC Nijmegen,34,5,15,14,54:82,-28,30,NL1,2014
18,Roda JC Kerkrade,34,7,8,19,44:69,-25,29,NL1,2014
