Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Chelsea FC,38,27,5,6,103:32,71,86,GB1,2010
2,Manchester United,38,27,4,7,86:28,58,85,GB1,2010
3,Arsenal FC,38,23,6,9,83:41,42,75,GB1,2010
4,Tottenham Hotspur,38,21,7,10,67:41,26,70,GB1,2010
5,Manchester City,38,18,13,7,73:45,28,67,GB1,2010
6,Aston Villa,38,17,13,8,52:39,13,64,GB1,2010
7,Liverpool FC,38,18,9,11,61:35,26,63,GB1,2010
8,Everton FC,38,16,13,9,60:49,11,61,GB1,2010
9,Birmingham City,38,13,11,14,38:47,-9,50,GB1,2010
10,Blackburn Rovers,38,13,11,14,41:55,-14,50,GB1,2010
11,Stoke City,38,11,14,13,34:48,-14,47,GB1,2010
12,Fulham FC,38,12,10,16,39:46,-7,46,GB1,2010
13,Sunderland AFC,38,11,11,16,48:56,-8,44,GB1,2010
14,Bolton Wanderers,38,10,9,19,42:67,-25,39,GB1,2010
15,Wolverhampton Wanderers,38,9,11,18,32:56,-24,38,GB1,2010
16,Wigan Athletic,38,9,9,20,37:79,-42,36,GB1,2010
17,West Ham United,38,8,11,19,47:66,-19,35,GB1,2010
18,Burnley FC,38,8,6,24,42:82,-40,30,GB1,2010
19,Hull City,38,6,12,20,34:75,-41,30,GB1,2010
20,Portsmouth FC,38,7,7,24,34:66,-32,19,GB1,2010
