Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AC Le Havre,38,22,12,4,66:30,36,78,FR2,2008
2,FC Nantes,38,19,13,6,58:34,24,70,FR2,2008
3,Grenoble Foot 38,38,17,12,9,44:30,14,63,FR2,2008
4,CS Sedan-Ardennes,38,15,13,10,46:40,6,58,FR2,2008
5,Clermont Foot Auvergne 63,38,14,15,9,50:41,9,57,FR2,2008
6,ESTAC Troyes,38,15,12,11,46:44,2,57,FR2,2008
7,Stade Brestois 29,38,15,12,11,38:38,0,57,FR2,2008
8,Montpellier HSC,38,14,12,12,43:32,11,54,FR2,2008
9,AC Ajaccio,38,14,12,12,37:41,-4,54,FR2,2008
10,Angers SCO,38,13,14,11,39:35,4,53,FR2,2008
11,SC Bastia,38,14,9,15,45:46,-1,51,FR2,2008
12,EA Guingamp,38,11,15,12,41:37,4,48,FR2,2008
13,Stade Reims,38,12,10,16,44:52,-8,46,FR2,2008
14,Amiens SC,38,11,12,15,49:51,-2,45,FR2,2008
15,LB Châteauroux,38,11,12,15,34:42,-8,45,FR2,2008
16,US Boulogne,38,12,7,19,37:54,-17,43,FR2,2008
17,Dijon FCO,38,9,15,14,32:51,-19,42,FR2,2008
18,Chamois Niortais FC,38,11,8,19,38:48,-10,41,FR2,2008
19,FC Libourne-Saint-Seurin,38,7,11,20,41:62,-21,32,FR2,2008
20,FC Gueugnon,38,5,12,21,39:59,-20,27,FR2,2008
