Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Frosinone Calcio,38,24,8,6,63:26,37,80,IT2,2023
2,Genoa CFC,38,21,11,6,53:28,25,73,IT2,2023
3,SSC Bari,38,17,14,7,58:37,21,65,IT2,2023
4,Parma Calcio 1913,38,17,10,11,48:39,9,60,IT2,2023
5,Cagliari Calcio,38,15,15,8,50:34,16,60,IT2,2023
6,FC Südtirol,38,14,16,8,38:34,4,58,IT2,2023
7,Reggina 1914,38,17,4,17,49:45,4,50,IT2,2023
8,Venezia FC,38,13,10,15,51:50,1,49,IT2,2023
9,Palermo FC,38,11,16,11,48:49,-1,49,IT2,2023
10,Modena FC,38,13,9,16,47:53,-6,48,IT2,2023
11,Pisa Sporting Club,38,11,14,13,48:42,6,47,IT2,2023
12,Ascoli Calcio,38,12,11,15,40:47,-7,47,IT2,2023
13,Como 1907,38,10,17,11,47:48,-1,47,IT2,2023
14,Ternana Calcio,38,11,10,17,37:52,-15,43,IT2,2023
15,AS Cittadella,38,9,16,13,34:45,-11,43,IT2,2023
16,Brescia Calcio,38,9,13,16,36:57,-21,40,IT2,2023
17,Cosenza Calcio,38,9,13,16,30:53,-23,40,IT2,2023
18,AC Perugia Calcio,38,10,9,19,40:52,-12,39,IT2,2023
19,SPAL,38,8,14,16,41:51,-10,38,IT2,2023
20,Benevento Calcio,38,7,14,17,33:49,-16,35,IT2,2023
