Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,25,7,6,80:35,45,82,ES1,2006
2,Real Madrid,38,20,10,8,70:40,30,70,ES1,2006
3,Valencia CF,38,19,12,7,58:33,25,69,ES1,2006
4,CA Osasuna,38,21,5,12,49:43,6,68,ES1,2006
5,Sevilla FC,38,20,8,10,54:39,15,68,ES1,2006
6,Celta de Vigo,38,20,4,14,45:33,12,64,ES1,2006
7,Villarreal CF,38,14,15,9,50:39,11,57,ES1,2006
8,Deportivo de La Coruña,38,15,10,13,47:45,2,55,ES1,2006
9,Getafe CF,38,15,9,14,54:49,5,54,ES1,2006
10,Atlético de Madrid,38,13,13,12,45:37,8,52,ES1,2006
11,Real Zaragoza,38,10,16,12,46:51,-5,46,ES1,2006
12,Athletic Bilbao,38,11,12,15,40:46,-6,45,ES1,2006
13,RCD Mallorca,38,10,13,15,37:51,-14,43,ES1,2006
14,Real Betis Balompié,38,10,12,16,34:51,-17,42,ES1,2006
15,RCD Espanyol Barcelona,38,10,11,17,36:56,-20,41,ES1,2006
16,Real Sociedad,38,11,7,20,48:65,-17,40,ES1,2006
17,Racing Santander,38,9,13,16,36:49,-13,40,ES1,2006
18,Deportivo Alavés,38,9,12,17,35:54,-19,39,ES1,2006
19,Cádiz CF,38,8,12,18,36:52,-16,36,ES1,2006
20,Málaga CF,38,5,9,24,36:68,-32,24,ES1,2006
