Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CD Nacional,24,14,8,2,36:16,20,50,PO2,2020
2,SC Farense,24,15,3,6,35:22,13,48,PO2,2020
3,CD Feirense,24,11,9,4,27:18,9,42,PO2,2020
4,CD Mafra,24,10,9,5,33:24,9,39,PO2,2020
5,GD Estoril Praia,24,12,3,9,35:26,9,39,PO2,2020
6,Varzim SC,24,10,7,7,32:31,1,37,PO2,2020
7,Académica Coimbra,24,10,5,9,34:26,8,35,PO2,2020
8,Académico Viseu FC,24,9,7,8,21:24,-3,34,PO2,2020
9,Leixões SC,24,8,9,7,23:22,1,33,PO2,2020
10,SC Covilhã,24,9,5,10,29:27,2,32,PO2,2020
11,UD Oliveirense,24,9,5,10,36:31,5,32,PO2,2020
12,GD Chaves,24,9,5,10,26:26,0,32,PO2,2020
13,FC Porto B,24,7,8,9,35:36,-1,29,PO2,2020
14,FC Penafiel,24,6,10,8,23:24,-1,28,PO2,2020
15,SL Benfica B,24,7,7,10,31:35,-4,28,PO2,2020
16,UD Vilafranquense,24,6,6,12,27:45,-18,24,PO2,2020
17,CD Cova Piedade,24,4,5,15,20:42,-22,17,PO2,2020
18,Casa Pia AC,24,2,5,17,19:47,-28,11,PO2,2020
