Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CD Nacional,38,19,14,5,72:45,27,71,PO2,2018
2,CD Santa Clara,38,19,9,10,55:40,15,66,PO2,2018
3,Académico Viseu FC,38,17,13,8,50:40,10,64,PO2,2018
4,Académica Coimbra,38,19,6,13,59:40,19,63,PO2,2018
5,FC Penafiel,38,17,11,10,55:43,12,62,PO2,2018
6,FC Arouca,38,16,11,11,42:37,5,59,PO2,2018
7,FC Porto B,38,18,4,16,50:55,-5,58,PO2,2018
8,Leixões SC,38,14,14,10,50:43,7,56,PO2,2018
9,CD Cova Piedade,38,14,9,15,42:45,-3,51,PO2,2018
10,Varzim SC,38,13,11,14,41:41,0,50,PO2,2018
11,Vitória Guimarães SC B,38,14,8,16,44:49,-5,50,PO2,2018
12,UD Oliveirense,38,13,10,15,45:47,-2,49,PO2,2018
13,SL Benfica B,38,14,7,17,54:60,-6,49,PO2,2018
14,FC Famalicão,38,13,9,16,46:49,-3,48,PO2,2018
15,SC Covilhã,38,12,11,15,32:41,-9,47,PO2,2018
16,SC Braga B,38,10,14,14,44:48,-4,44,PO2,2018
17,CF União Madeira (-2021),38,12,8,18,44:53,-9,44,PO2,2018
18,Sporting CP B,38,11,9,18,46:65,-19,42,PO2,2018
19,Gil Vicente FC,38,8,12,18,29:45,-16,36,PO2,2018
20,Real SC,38,8,8,22,47:61,-14,32,PO2,2018
