Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Sparta Rotterdam,36,24,7,5,83:40,43,79,NL2,2016
2,VVV-Venlo,36,23,6,7,85:39,46,75,NL2,2016
3,NAC Breda,36,20,7,9,84:42,42,67,NL2,2016
4,FC Eindhoven,36,19,6,11,55:44,11,63,NL2,2016
5,Go Ahead Eagles,36,18,7,11,61:41,20,61,NL2,2016
6,FC Volendam,36,14,10,12,54:40,14,52,NL2,2016
7,FC Emmen,36,15,6,15,58:57,1,51,NL2,2016
8,Almere City FC,36,14,8,14,68:66,2,50,NL2,2016
9,Ajax Amsterdam U21,36,13,11,12,59:57,2,50,NL2,2016
10,MVV Maastricht,36,14,8,14,52:60,-8,50,NL2,2016
11,PSV Eindhoven U21,36,13,9,14,51:71,-20,48,NL2,2016
12,SC Telstar,36,12,8,16,57:64,-7,44,NL2,2016
13,Helmond Sport,36,11,9,16,52:59,-7,42,NL2,2016
14,FC Dordrecht,36,11,7,18,47:67,-20,40,NL2,2016
15,Achilles '29,36,10,9,17,43:61,-18,39,NL2,2016
16,Fortuna Sittard,36,11,6,19,41:74,-33,39,NL2,2016
17,FC Den Bosch,36,9,11,16,47:53,-6,38,NL2,2016
18,RKC Waalwijk,36,7,11,18,41:66,-25,32,NL2,2016
19,FC Oss,36,7,8,21,43:80,-37,29,NL2,2016
