Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,27,8,3,84:23,61,89,FR1,2014
2,AS Monaco,38,23,11,4,63:31,32,80,FR1,2014
3,LOSC Lille,38,20,11,7,46:26,20,71,FR1,2014
4,AS Saint-Étienne,38,20,9,9,56:34,22,69,FR1,2014
5,Olympique Lyon,38,17,10,11,56:44,12,61,FR1,2014
6,Olympique Marseille,38,16,12,10,53:40,13,60,FR1,2014
7,FC Girondins Bordeaux,38,13,14,11,49:43,6,53,FR1,2014
8,FC Lorient,38,13,10,15,48:53,-5,49,FR1,2014
9,FC Toulouse,38,12,13,13,46:53,-7,49,FR1,2014
10,SC Bastia,38,12,11,15,42:56,-14,49,FR1,2014
11,Stade Reims,38,12,12,14,44:52,-8,48,FR1,2014
12,Stade Rennais FC,38,11,13,14,47:45,2,46,FR1,2014
13,FC Nantes,38,12,11,15,38:43,-5,46,FR1,2014
14,FC Évian Thonon Gaillard,38,11,11,16,39:51,-12,44,FR1,2014
15,Montpellier HSC,38,8,18,12,45:53,-8,42,FR1,2014
16,EA Guingamp,38,11,9,18,34:42,-8,42,FR1,2014
17,OGC Nice,38,12,6,20,30:44,-14,42,FR1,2014
18,FC Sochaux-Montbéliard,38,10,10,18,37:61,-24,40,FR1,2014
19,Valenciennes FC,38,7,8,23,37:65,-28,29,FR1,2014
20,AC Ajaccio,38,4,11,23,37:72,-35,23,FR1,2014
