Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Barcelona,38,30,4,4,110:21,89,94,ES1,2015
2,Real Madrid,38,30,2,6,118:38,80,92,ES1,2015
3,Atlético de Madrid,38,23,9,6,67:29,38,78,ES1,2015
4,Valencia CF,38,22,11,5,70:32,38,77,ES1,2015
5,Sevilla FC,38,23,7,8,71:45,26,76,ES1,2015
6,Villarreal CF,38,16,12,10,48:37,11,60,ES1,2015
7,Athletic Bilbao,38,15,10,13,42:41,1,55,ES1,2015
8,Celta de Vigo,38,13,12,13,47:44,3,51,ES1,2015
9,Málaga CF,38,14,8,16,42:48,-6,50,ES1,2015
10,RCD Espanyol Barcelona,38,13,10,15,47:51,-4,49,ES1,2015
11,Rayo Vallecano,38,15,4,19,46:68,-22,49,ES1,2015
12,Real Sociedad,38,11,13,14,44:51,-7,46,ES1,2015
13,Elche CF,38,11,8,19,35:62,-27,41,ES1,2015
14,Levante UD,38,9,10,19,34:67,-33,37,ES1,2015
15,Getafe CF,38,10,7,21,33:64,-31,37,ES1,2015
16,Deportivo de La Coruña,38,7,14,17,35:60,-25,35,ES1,2015
17,Granada CF,38,7,14,17,29:64,-35,35,ES1,2015
18,SD Eibar,38,9,8,21,34:55,-21,35,ES1,2015
19,UD Almería,38,8,8,22,35:64,-29,29,ES1,2015
20,Córdoba CF,38,3,11,24,22:68,-46,20,ES1,2015
