Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,28,3,3,103:31,72,87,PO1,2019
2,FC Porto,34,27,4,3,74:20,54,85,PO1,2019
3,Sporting CP,34,23,5,6,72:33,39,74,PO1,2019
4,SC Braga,34,21,4,9,56:37,19,67,PO1,2019
5,Vitória Guimarães SC,34,15,7,12,46:34,12,52,PO1,2019
6,Moreirense FC,34,16,4,14,39:44,-5,52,PO1,2019
7,Rio Ave FC,34,12,9,13,50:52,-2,45,PO1,2019
8,Boavista FC,34,13,5,16,34:40,-6,44,PO1,2019
9,B SAD,34,10,13,11,42:51,-9,43,PO1,2019
10,CD Santa Clara,34,11,9,14,43:45,-2,42,PO1,2019
11,Portimonense SC,34,11,6,17,44:59,-15,39,PO1,2019
12,CS Marítimo,34,12,3,19,26:44,-18,39,PO1,2019
13,Vitória Setúbal FC,34,8,12,14,28:39,-11,36,PO1,2019
14,Desportivo Aves (- 2020),34,10,6,18,35:49,-14,36,PO1,2019
15,CD Tondela,34,9,8,17,40:54,-14,35,PO1,2019
16,GD Chaves,34,8,8,18,34:57,-23,32,PO1,2019
17,CD Nacional,34,7,7,20,33:73,-40,28,PO1,2019
18,CD Feirense,34,3,11,20,27:64,-37,20,PO1,2019
