Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,1.FC Kaiserslautern,34,19,10,5,56:28,28,67,L2,2010
2,FC St. Pauli,34,20,4,10,72:37,35,64,L2,2010
3,FC Augsburg,34,17,11,6,60:40,20,62,L2,2010
4,Fortuna Düsseldorf,34,17,8,9,48:31,17,59,L2,2010
5,SC Paderborn 07,34,14,9,11,49:49,0,51,L2,2010
6,MSV Duisburg,34,14,8,12,51:46,5,50,L2,2010
7,Arminia Bielefeld,34,16,5,13,48:41,7,49,L2,2010
8,TSV 1860 Munich,34,14,6,14,43:45,-2,48,L2,2010
9,FC Energie Cottbus,34,13,8,13,55:49,6,47,L2,2010
10,Karlsruher SC,34,13,7,14,43:45,-2,46,L2,2010
11,SpVgg Greuther Fürth,34,12,8,14,51:50,1,44,L2,2010
12,1.FC Union Berlin,34,11,11,12,42:45,-3,44,L2,2010
13,Alemannia Aachen,34,11,10,13,37:41,-4,43,L2,2010
14,Rot-Weiß Oberhausen,34,12,5,17,38:52,-14,41,L2,2010
15,FSV Frankfurt,34,9,11,14,29:50,-21,38,L2,2010
16,FC Hansa Rostock,34,10,6,18,33:45,-12,36,L2,2010
17,TuS Koblenz,34,7,10,17,35:60,-25,31,L2,2010
18,Rot Weiss Ahlen,34,5,7,22,19:55,-36,22,L2,2010
