Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,29,1,4,92:31,61,88,NL1,2015
2,Ajax Amsterdam,34,21,8,5,69:29,40,71,NL1,2015
3,AZ Alkmaar,34,19,5,10,63:56,7,62,NL1,2015
4,Feyenoord Rotterdam,34,17,8,9,56:39,17,59,NL1,2015
5,Vitesse Arnhem,34,16,10,8,66:43,23,58,NL1,2015
6,PEC Zwolle,34,16,5,13,59:43,16,53,NL1,2015
7,SC Heerenveen,34,13,11,10,53:46,7,50,NL1,2015
8,FC Groningen,34,11,13,10,49:53,-4,46,NL1,2015
9,Willem II Tilburg,34,13,7,14,46:50,-4,46,NL1,2015
10,Twente Enschede FC,34,13,10,11,56:51,5,43,NL1,2015
11,FC Utrecht,34,11,8,15,60:62,-2,41,NL1,2015
12,SC Cambuur Leeuwarden,34,11,8,15,46:56,-10,41,NL1,2015
13,ADO Den Haag,34,9,10,15,44:53,-9,37,NL1,2015
14,Heracles Almelo,34,11,4,19,47:64,-17,37,NL1,2015
15,Excelsior Rotterdam,34,6,14,14,47:63,-16,32,NL1,2015
16,NAC Breda,34,6,10,18,36:68,-32,28,NL1,2015
17,Go Ahead Eagles,34,7,6,21,29:59,-30,27,NL1,2015
18,FC Dordrecht,34,4,8,22,24:76,-52,20,NL1,2015
