Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,US Sassuolo,42,25,10,7,78:40,38,85,IT2,2013
2,Hellas Verona,42,23,13,6,67:32,35,82,IT2,2013
3,AS Livorno,42,23,11,8,77:47,30,80,IT2,2013
4,Empoli FC ,42,20,13,9,69:51,18,73,IT2,2013
5,Novara Calcio 1908,42,19,10,13,73:46,27,64,IT2,2013
6,Brescia Calcio,42,15,17,10,58:50,8,62,IT2,2013
7,Varese 1910,42,16,13,13,55:53,2,60,IT2,2013
8,Modena FC,42,15,12,15,52:51,1,55,IT2,2013
9,Ternana Calcio,42,12,17,13,37:38,-1,53,IT2,2013
10,AS Bari,42,16,12,14,55:47,8,53,IT2,2013
11,Calcio Padova,42,12,17,13,47:51,-4,53,IT2,2013
12,FC Crotone,42,14,13,15,45:56,-11,53,IT2,2013
13,Spezia Calcio,42,12,15,15,52:58,-6,51,IT2,2013
14,AC Cesena,42,12,14,16,46:59,-13,50,IT2,2013
15,AS Cittadella,42,12,14,16,48:61,-13,50,IT2,2013
16,SS Juve Stabia ,42,12,14,16,54:65,-11,50,IT2,2013
17,Reggina Calcio,42,12,15,15,42:51,-9,49,IT2,2013
18,SS Virtus Lanciano,42,9,21,12,50:60,-10,48,IT2,2013
19,Vicenza Calcio,42,10,12,20,41:58,-17,42,IT2,2013
20,Ascoli Calcio 1898,42,11,9,22,48:67,-19,41,IT2,2013
21,FC Pro Vercelli 1892,42,8,9,25,37:67,-30,33,IT2,2013
22,US Grosseto FC,42,7,13,22,44:67,-23,28,IT2,2013
