Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Paços de Ferreira,34,20,9,5,61:43,18,69,PO2,2005
2,Naval 1º de Maio,34,17,11,6,53:30,23,62,PO2,2005
3,Clube Futebol Estrela da Amadora,34,17,9,8,47:30,17,60,PO2,2005
4,Desportivo Aves (- 2020),34,15,6,13,45:35,10,51,PO2,2005
5,FC Marco (-2008),34,13,12,9,51:43,8,51,PO2,2005
6,Leixões SC,34,14,8,12,40:33,7,50,PO2,2005
7,FC Maia,34,13,10,11,46:36,10,49,PO2,2005
8,CD Feirense,34,14,7,13,45:48,-3,49,PO2,2005
9,SC Olhanense,34,11,11,12,32:32,0,44,PO2,2005
10,Varzim SC,34,11,10,13,37:42,-5,43,PO2,2005
11,FC Felgueiras,34,11,9,14,37:44,-7,42,PO2,2005
12,AD Ovarense,34,11,8,15,40:51,-11,41,PO2,2005
13,Gondomar SC,34,11,6,17,38:45,-7,39,PO2,2005
14,Portimonense SC,34,10,9,15,40:49,-9,39,PO2,2005
15,CD Santa Clara,34,11,6,17,39:50,-11,39,PO2,2005
16,FC Alverca,34,11,6,17,28:40,-12,39,PO2,2005
17,GD Chaves,34,9,10,15,24:38,-14,37,PO2,2005
18,SC Espinho,34,9,9,16,37:51,-14,36,PO2,2005
