Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VfB Stuttgart,34,21,6,7,63:37,26,69,L2,2017
2,Hannover 96,34,19,10,5,51:32,19,67,L2,2017
3,Eintracht Braunschweig,34,19,9,6,50:36,14,66,L2,2017
4,1.FC Union Berlin,34,18,6,10,51:39,12,60,L2,2017
5,SG Dynamo Dresden,34,13,11,10,53:46,7,50,L2,2017
6,1.FC Heidenheim 1846,34,12,10,12,43:39,4,46,L2,2017
7,FC St. Pauli,34,12,9,13,39:35,4,45,L2,2017
8,SpVgg Greuther Fürth,34,12,9,13,33:40,-7,45,L2,2017
9,VfL Bochum,34,10,14,10,42:47,-5,44,L2,2017
10,SV Sandhausen,34,10,12,12,41:36,5,42,L2,2017
11,Fortuna Düsseldorf,34,10,12,12,37:39,-2,42,L2,2017
12,1.FC Nuremberg,34,12,6,16,46:52,-6,42,L2,2017
13,1.FC Kaiserslautern,34,10,11,13,29:33,-4,41,L2,2017
14,FC Erzgebirge Aue,34,10,9,15,37:52,-15,39,L2,2017
15,Arminia Bielefeld,34,8,13,13,50:54,-4,37,L2,2017
16,TSV 1860 Munich,34,10,6,18,37:47,-10,36,L2,2017
17,Würzburger Kickers,34,7,13,14,32:41,-9,34,L2,2017
18,Karlsruher SC,34,5,10,19,27:56,-29,25,L2,2017
