Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Stade Reims,38,28,4,6,74:24,50,88,FR2,2018
2,Nîmes Olympique,38,22,7,9,75:37,38,73,FR2,2018
3,AC Ajaccio,38,20,8,10,62:43,19,68,FR2,2018
4,AC Le Havre,38,19,9,10,53:34,19,66,FR2,2018
5,Stade Brestois 29,38,18,11,9,58:43,15,65,FR2,2018
6,Clermont Foot 63,38,17,12,9,54:36,18,63,FR2,2018
7,FC Lorient,38,18,8,12,61:46,15,62,FR2,2018
8,Paris FC,38,16,13,9,46:36,10,61,FR2,2018
9,LB Châteauroux,38,17,9,12,50:50,0,60,FR2,2018
10,FC Sochaux-Montbéliard,38,15,8,15,51:62,-11,53,FR2,2018
11,AJ Auxerre,38,13,8,17,51:55,-4,47,FR2,2018
12,US Orléans,38,12,10,16,52:61,-9,46,FR2,2018
13,Valenciennes FC,38,12,9,17,50:64,-14,45,FR2,2018
14,RC Lens,38,11,10,17,48:49,-1,43,FR2,2018
15,Chamois Niortais FC,38,11,9,18,47:60,-13,42,FR2,2018
16,GFC Ajaccio,38,11,8,19,35:60,-25,41,FR2,2018
17,AS Nancy-Lorraine,38,9,11,18,39:54,-15,38,FR2,2018
18,Football Bourg-en-Bresse Péronnas 01,38,10,6,22,50:87,-37,36,FR2,2018
19,Quevilly Rouen Métropole,38,9,6,23,45:66,-21,33,FR2,2018
20,Tours FC,38,5,8,25,34:68,-34,23,FR2,2018
