Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,29,1,4,88:22,66,88,PO1,2016
2,Sporting CP,34,27,5,2,79:21,58,86,PO1,2016
3,FC Porto,34,23,4,7,67:30,37,73,PO1,2016
4,SC Braga,34,16,10,8,54:35,19,58,PO1,2016
5,FC Arouca,34,13,15,6,47:38,9,54,PO1,2016
6,Rio Ave FC,34,14,8,12,44:44,0,50,PO1,2016
7,FC Paços de Ferreira,34,13,10,11,43:42,1,49,PO1,2016
8,GD Estoril Praia,34,13,8,13,40:41,-1,47,PO1,2016
9,CF Os Belenenses,34,10,11,13,44:66,-22,41,PO1,2016
10,Vitória Guimarães SC,34,9,13,12,45:53,-8,40,PO1,2016
11,CD Nacional,34,10,8,16,40:56,-16,38,PO1,2016
12,Moreirense FC,34,9,9,16,38:54,-16,36,PO1,2016
13,CS Marítimo,34,10,5,19,45:63,-18,35,PO1,2016
14,Boavista FC,34,8,9,17,24:41,-17,33,PO1,2016
15,CD Tondela,34,8,6,20,34:54,-20,30,PO1,2016
16,Vitória Setúbal FC,34,6,12,16,40:61,-21,30,PO1,2016
17,CF União Madeira (-2021),34,7,8,19,27:50,-23,29,PO1,2016
18,Académica Coimbra,34,5,10,19,32:60,-28,25,PO1,2016
