Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Madrid,38,27,4,7,84:36,48,85,ES1,2008
2,Villarreal CF,38,24,5,9,63:40,23,77,ES1,2008
3,FC Barcelona,38,19,10,9,76:43,33,67,ES1,2008
4,Atlético de Madrid,38,19,7,12,66:47,19,64,ES1,2008
5,Sevilla FC,38,20,4,14,75:49,26,64,ES1,2008
6,Racing Santander,38,17,9,12,42:41,1,60,ES1,2008
7,RCD Mallorca,38,15,14,9,69:54,15,59,ES1,2008
8,UD Almería,38,14,10,14,41:45,-4,52,ES1,2008
9,Deportivo de La Coruña,38,15,7,16,46:47,-1,52,ES1,2008
10,Valencia CF,38,15,6,17,48:62,-14,51,ES1,2008
11,Athletic Bilbao,38,13,11,14,40:43,-3,50,ES1,2008
12,RCD Espanyol Barcelona,38,13,9,16,43:52,-9,48,ES1,2008
13,Real Betis Balompié,38,12,11,15,45:51,-6,47,ES1,2008
14,Getafe CF,38,12,11,15,44:48,-4,47,ES1,2008
15,Real Valladolid CF,38,11,12,15,42:57,-15,45,ES1,2008
16,Recreativo Huelva,38,11,11,16,40:60,-20,44,ES1,2008
17,CA Osasuna,38,12,7,19,37:44,-7,43,ES1,2008
18,Real Zaragoza,38,10,12,16,50:61,-11,42,ES1,2008
19,Real Murcia CF,38,7,9,22,36:65,-29,30,ES1,2008
20,Levante UD,38,7,5,26,33:75,-42,26,ES1,2008
