Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Twente Enschede FC,34,27,5,2,63:23,40,86,NL1,2010
2,Ajax Amsterdam,34,27,4,3,106:20,86,85,NL1,2010
3,PSV Eindhoven,34,23,9,2,72:29,43,78,NL1,2010
4,Feyenoord Rotterdam,34,17,12,5,54:31,23,63,NL1,2010
5,AZ Alkmaar,34,19,5,10,64:34,30,62,NL1,2010
6,Heracles Almelo,34,17,5,12,54:49,5,56,NL1,2010
7,FC Utrecht,34,14,11,9,39:33,6,53,NL1,2010
8,FC Groningen,34,14,7,13,48:47,1,49,NL1,2010
9,Roda JC Kerkrade,34,14,5,15,56:60,-4,47,NL1,2010
10,NAC Breda,34,12,10,12,42:49,-7,46,NL1,2010
11,SC Heerenveen,34,11,4,19,44:64,-20,37,NL1,2010
12,VVV-Venlo,34,8,11,15,43:57,-14,35,NL1,2010
13,NEC Nijmegen,34,8,9,17,35:59,-24,33,NL1,2010
14,Vitesse Arnhem,34,8,8,18,38:62,-24,32,NL1,2010
15,ADO Den Haag,34,7,9,18,38:59,-21,30,NL1,2010
16,Sparta Rotterdam,34,6,8,20,30:66,-36,26,NL1,2010
17,Willem II Tilburg,34,7,2,25,36:70,-34,23,NL1,2010
18,RKC Waalwijk,34,5,0,29,30:80,-50,15,NL1,2010
