Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AC Milan,38,26,8,4,69:31,38,86,IT1,2022
2,Inter Milan,38,25,9,4,84:32,52,84,IT1,2022
3,SSC Napoli,38,24,7,7,74:31,43,79,IT1,2022
4,Juventus FC,38,20,10,8,57:37,20,70,IT1,2022
5,SS Lazio,38,18,10,10,77:58,19,64,IT1,2022
6,AS Roma,38,18,9,11,59:43,16,63,IT1,2022
7,ACF Fiorentina,38,19,5,14,59:51,8,62,IT1,2022
8,Atalanta BC,38,16,11,11,65:48,17,59,IT1,2022
9,Hellas Verona,38,14,11,13,65:59,6,53,IT1,2022
10,Torino FC,38,13,11,14,46:41,5,50,IT1,2022
11,US Sassuolo,38,13,11,14,64:66,-2,50,IT1,2022
12,Udinese Calcio,38,11,14,13,61:58,3,47,IT1,2022
13,Bologna FC 1909,38,12,10,16,44:55,-11,46,IT1,2022
14,FC Empoli,38,10,11,17,50:70,-20,41,IT1,2022
15,UC Sampdoria,38,10,6,22,46:63,-17,36,IT1,2022
16,Spezia Calcio,38,10,6,22,41:71,-30,36,IT1,2022
17,US Salernitana 1919,38,7,10,21,33:78,-45,31,IT1,2022
18,Cagliari Calcio,38,6,12,20,34:68,-34,30,IT1,2022
19,Genoa CFC,38,4,16,18,27:60,-33,28,IT1,2022
20,Venezia FC,38,6,9,23,34:69,-35,27,IT1,2022
