Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,34,27,4,3,86:16,70,85,PO1,2015
2,FC Porto,34,25,7,2,74:13,61,82,PO1,2015
3,Sporting CP,34,22,10,2,67:29,38,76,PO1,2015
4,SC Braga,34,17,7,10,55:28,27,58,PO1,2015
5,Vitória Guimarães SC,34,15,10,9,50:35,15,55,PO1,2015
6,CF Os Belenenses,34,12,12,10,34:35,-1,48,PO1,2015
7,CD Nacional,34,13,8,13,45:46,-1,47,PO1,2015
8,FC Paços de Ferreira,34,12,11,11,40:45,-5,47,PO1,2015
9,CS Marítimo,34,12,8,14,46:45,1,44,PO1,2015
10,Rio Ave FC,34,10,13,11,38:42,-4,43,PO1,2015
11,Moreirense FC,34,11,10,13,33:42,-9,43,PO1,2015
12,GD Estoril Praia,34,9,13,12,38:56,-18,40,PO1,2015
13,Boavista FC,34,9,7,18,27:50,-23,34,PO1,2015
14,Académica Coimbra,34,4,17,13,26:46,-20,29,PO1,2015
15,Vitória Setúbal FC,34,7,8,19,24:56,-32,29,PO1,2015
16,FC Arouca,34,7,7,20,26:50,-24,28,PO1,2015
17,Gil Vicente FC,34,4,11,19,25:60,-35,23,PO1,2015
18,FC Penafiel,34,5,7,22,29:69,-40,22,PO1,2015
