Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Chelsea FC,38,26,9,3,73:32,41,87,GB1,2015
2,Manchester City,38,24,7,7,83:38,45,79,GB1,2015
3,Arsenal FC,38,22,9,7,71:36,35,75,GB1,2015
4,Manchester United,38,20,10,8,62:37,25,70,GB1,2015
5,Tottenham Hotspur,38,19,7,12,58:53,5,64,GB1,2015
6,Liverpool FC,38,18,8,12,52:48,4,62,GB1,2015
7,Southampton FC,38,18,6,14,54:33,21,60,GB1,2015
8,Swansea City,38,16,8,14,46:49,-3,56,GB1,2015
9,Stoke City,38,15,9,14,48:45,3,54,GB1,2015
10,Crystal Palace,38,13,9,16,47:51,-4,48,GB1,2015
11,Everton FC,38,12,11,15,48:50,-2,47,GB1,2015
12,West Ham United,38,12,11,15,44:47,-3,47,GB1,2015
13,West Bromwich Albion,38,11,11,16,38:51,-13,44,GB1,2015
14,Leicester City,38,11,8,19,46:55,-9,41,GB1,2015
15,Newcastle United,38,10,9,19,40:63,-23,39,GB1,2015
16,Sunderland AFC,38,7,17,14,31:53,-22,38,GB1,2015
17,Aston Villa,38,10,8,20,31:57,-26,38,GB1,2015
18,Hull City,38,8,11,19,33:51,-18,35,GB1,2015
19,Burnley FC,38,7,12,19,28:53,-25,33,GB1,2015
20,Queens Park Rangers,38,8,6,24,42:73,-31,30,GB1,2015
