Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Cambuur Leeuwarden,30,19,4,7,59:33,26,61,NL2,2013
2,FC Volendam,30,19,3,8,70:43,27,60,NL2,2013
3,Sparta Rotterdam,30,16,7,7,59:36,23,55,NL2,2013
4,Helmond Sport,30,15,10,5,55:45,10,55,NL2,2013
5,MVV Maastricht,30,14,8,8,56:44,12,50,NL2,2013
6,Go Ahead Eagles,30,13,9,8,60:46,14,48,NL2,2013
7,Fortuna Sittard,30,13,7,10,39:33,6,46,NL2,2013
8,De Graafschap Doetinchem,30,12,9,9,57:41,16,45,NL2,2013
9,FC Dordrecht,30,11,7,12,56:56,0,40,NL2,2013
10,FC Oss,30,10,7,13,40:57,-17,37,NL2,2013
11,FC Den Bosch,30,10,5,15,38:49,-11,35,NL2,2013
12,FC Emmen,30,8,8,14,38:52,-14,32,NL2,2013
13,Almere City FC,30,10,1,19,41:67,-26,31,NL2,2013
14,SC Telstar,30,7,8,15,31:46,-15,29,NL2,2013
15,Excelsior Rotterdam,30,4,9,17,39:63,-24,21,NL2,2013
16,FC Eindhoven,30,5,6,19,40:67,-27,21,NL2,2013
17,AGOVV Apeldoorn,0,0,0,0,0:0,0,0,NL2,2013
17,SC Veendam,0,0,0,0,0:0,0,0,NL2,2013
