Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AS Nancy-Lorraine,38,21,11,6,60:32,28,74,FR2,2016
2,Dijon FCO,38,20,10,8,62:36,26,70,FR2,2016
3,FC Metz,38,19,8,11,54:39,15,65,FR2,2016
4,AC Le Havre,38,19,8,11,52:37,15,65,FR2,2016
5,Red Star FC,38,18,10,10,43:38,5,64,FR2,2016
6,RC Lens,38,15,13,10,39:35,4,58,FR2,2016
7,Clermont Foot 63,38,16,10,12,56:53,3,58,FR2,2016
8,AJ Auxerre,38,15,10,13,47:46,1,55,FR2,2016
9,Tours FC,38,11,14,13,36:41,-5,47,FR2,2016
10,Stade Brestois 29,38,12,11,15,34:41,-7,47,FR2,2016
11,Football Bourg-en-Bresse Péronnas 01,38,13,8,17,47:59,-12,47,FR2,2016
12,Valenciennes FC,38,10,14,14,39:43,-4,44,FR2,2016
13,Stade Lavallois,38,9,17,12,35:42,-7,44,FR2,2016
14,Nîmes Olympique,38,13,12,13,50:52,-2,43,FR2,2016
15,FC Sochaux-Montbéliard,38,9,15,14,34:36,-2,42,FR2,2016
16,Chamois Niortais FC,38,8,18,12,38:45,-7,42,FR2,2016
17,AC Ajaccio,38,9,15,14,34:42,-8,42,FR2,2016
18,FC Évian Thonon Gaillard,38,9,12,17,41:41,0,39,FR2,2016
19,US Créteil-Lusitanos,38,8,10,20,42:66,-24,34,FR2,2016
20,Paris FC,38,4,18,16,32:51,-19,30,FR2,2016
