Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,28,2,4,119:32,87,86,NL1,2019
2,PSV Eindhoven,34,26,5,3,98:26,72,83,NL1,2019
3,Feyenoord Rotterdam,34,20,5,9,75:41,34,65,NL1,2019
4,AZ Alkmaar,34,17,7,10,64:43,21,58,NL1,2019
5,Vitesse Arnhem,34,14,11,9,70:51,19,53,NL1,2019
6,FC Utrecht,34,15,8,11,60:51,9,53,NL1,2019
7,Heracles Almelo,34,15,3,16,61:68,-7,48,NL1,2019
8,FC Groningen,34,13,6,15,39:41,-2,45,NL1,2019
9,ADO Den Haag,34,12,9,13,58:63,-5,45,NL1,2019
10,Willem II Tilburg,34,13,5,16,58:72,-14,44,NL1,2019
11,SC Heerenveen,34,10,11,13,64:73,-9,41,NL1,2019
12,VVV-Venlo,34,11,8,15,47:63,-16,41,NL1,2019
13,PEC Zwolle,34,11,6,17,44:57,-13,39,NL1,2019
14,FC Emmen,34,10,8,16,41:72,-31,38,NL1,2019
15,Fortuna Sittard,34,9,7,18,50:80,-30,34,NL1,2019
16,Excelsior Rotterdam,34,9,6,19,46:79,-33,33,NL1,2019
17,De Graafschap Doetinchem,34,8,5,21,38:75,-37,29,NL1,2019
18,NAC Breda,34,5,8,21,29:74,-45,23,NL1,2019
