Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,34,26,4,4,74:22,52,82,PO1,2020
2,SL Benfica,34,24,5,5,71:26,45,77,PO1,2020
3,SC Braga,34,18,6,10,61:40,21,60,PO1,2020
4,Sporting CP,34,18,6,10,49:34,15,60,PO1,2020
5,Rio Ave FC,34,15,10,9,48:36,12,55,PO1,2020
6,FC Famalicão,34,14,12,8,53:51,2,54,PO1,2020
7,Vitória Guimarães SC,34,13,11,10,53:38,15,50,PO1,2020
8,Moreirense FC,34,10,13,11,42:44,-2,43,PO1,2020
9,CD Santa Clara,34,11,10,13,36:41,-5,43,PO1,2020
10,Gil Vicente FC,34,11,10,13,40:44,-4,43,PO1,2020
11,CS Marítimo,34,9,12,13,34:42,-8,39,PO1,2020
12,Boavista FC,34,10,9,15,28:39,-11,39,PO1,2020
13,FC Paços de Ferreira,34,11,6,17,36:52,-16,39,PO1,2020
14,CD Tondela,34,9,9,16,30:44,-14,36,PO1,2020
15,B SAD,34,9,8,17,27:54,-27,35,PO1,2020
16,Vitória Setúbal FC,34,7,13,14,27:43,-16,34,PO1,2020
17,Portimonense SC,34,7,12,15,30:45,-15,33,PO1,2020
18,Desportivo Aves (- 2020),34,5,2,27,24:68,-44,17,PO1,2020
