Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Hertha BSC,34,22,10,2,65:28,37,76,L2,2013
2,Eintracht Braunschweig,34,19,10,5,52:34,18,67,L2,2013
3,1.FC Kaiserslautern,34,15,13,6,55:33,22,58,L2,2013
4,FSV Frankfurt,34,16,6,12,55:45,10,54,L2,2013
5,1. FC Köln,34,14,12,8,43:33,10,54,L2,2013
6,TSV 1860 Munich,34,12,13,9,39:31,8,49,L2,2013
7,1.FC Union Berlin,34,13,10,11,50:49,1,49,L2,2013
8,FC Energie Cottbus,34,12,12,10,41:36,5,48,L2,2013
9,VfR Aalen,34,12,10,12,40:39,1,46,L2,2013
10,FC St. Pauli,34,11,10,13,44:47,-3,43,L2,2013
11,MSV Duisburg,34,11,10,13,37:49,-12,43,L2,2013
12,SC Paderborn 07,34,11,9,14,45:45,0,42,L2,2013
13,FC Ingolstadt 04,34,10,12,12,36:43,-7,42,L2,2013
14,VfL Bochum,34,10,8,16,40:52,-12,38,L2,2013
15,FC Erzgebirge Aue,34,9,10,15,39:46,-7,37,L2,2013
16,SG Dynamo Dresden,34,9,10,15,35:49,-14,37,L2,2013
17,SV Sandhausen,34,6,8,20,38:66,-28,26,L2,2013
18,SSV Jahn Regensburg,34,4,7,23,36:65,-29,19,L2,2013
