Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,CD Numancia,42,22,11,9,59:38,21,77,ES2,2008
2,Málaga CF,42,20,12,10,58:42,16,72,ES2,2008
3,Sporting Gijón,42,20,12,10,61:40,21,72,ES2,2008
4,Real Sociedad,42,18,14,10,55:39,16,68,ES2,2008
5,CD Castellón,42,16,13,13,42:37,5,61,ES2,2008
6,Hércules CF,42,14,16,12,66:55,11,58,ES2,2008
7,UD Salamanca,42,13,18,11,52:44,8,57,ES2,2008
8,UD Las Palmas,42,15,12,15,51:55,-4,57,ES2,2008
9,Sevilla Atlético,42,14,14,14,43:48,-5,56,ES2,2008
10,Elche CF,42,14,12,16,44:50,-6,54,ES2,2008
11,CD Tenerife,42,12,17,13,51:57,-6,53,ES2,2008
12,Albacete Balompié,42,13,13,16,37:40,-3,52,ES2,2008
13,SD Eibar,42,14,10,18,42:51,-9,52,ES2,2008
14,Gimnàstic de Tarragona,42,12,16,14,49:51,-2,52,ES2,2008
15,Xerez CD,42,12,16,14,47:56,-9,52,ES2,2008
16,Celta de Vigo,42,13,13,16,56:55,1,52,ES2,2008
17,Deportivo Alavés,42,12,15,15,41:47,-6,51,ES2,2008
18,Córdoba CF,42,11,17,14,50:56,-6,50,ES2,2008
19,Racing Ferrol,42,12,14,16,46:51,-5,50,ES2,2008
20,Cádiz CF,42,12,13,17,40:47,-7,49,ES2,2008
21,Granada 74 CF,42,10,15,17,45:59,-14,45,ES2,2008
22,Polideportivo Ejido,42,11,11,20,37:54,-17,44,ES2,2008
