Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Moreirense FC,34,24,7,3,77:38,39,79,PO2,2023
2,SC Farense,34,21,6,7,57:34,23,69,PO2,2023
3,CF Estrela Amadora SAD,34,16,15,3,55:35,20,63,PO2,2023
4,Académico Viseu FC,34,14,11,9,51:45,6,53,PO2,2023
5,FC Porto B,34,14,9,11,48:40,8,51,PO2,2023
6,CD Mafra,34,12,11,11,46:49,-3,47,PO2,2023
7,CD Feirense,34,11,13,10,43:37,6,46,PO2,2023
8,UD Vilafranquense,34,12,10,12,42:36,6,46,PO2,2023
9,SC União Torreense,34,13,5,16,38:41,-3,44,PO2,2023
10,UD Oliveirense,34,11,10,13,51:50,1,43,PO2,2023
11,CD Tondela,34,8,16,10,35:35,0,40,PO2,2023
12,Leixões SC,34,10,9,15,38:49,-11,39,PO2,2023
13,FC Penafiel,34,9,12,13,36:47,-11,39,PO2,2023
14,CD Nacional,34,10,9,15,35:46,-11,39,PO2,2023
15,SL Benfica B,34,10,8,16,52:58,-6,38,PO2,2023
16,B SAD,34,9,8,17,41:59,-18,35,PO2,2023
17,CD Trofense,34,8,8,18,31:51,-20,32,PO2,2023
18,SC Covilhã,34,7,7,20,31:57,-26,28,PO2,2023
