Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Portimonense SC,42,25,8,9,70:39,31,83,PO2,2017
2,Desportivo Aves (- 2020),42,23,12,7,63:38,25,81,PO2,2017
3,CF União Madeira (-2021),42,17,13,12,52:43,9,64,PO2,2017
4,FC Penafiel,42,18,9,15,56:55,1,63,PO2,2017
5,SL Benfica B,42,18,9,15,56:58,-2,63,PO2,2017
6,Académica Coimbra,42,17,11,14,42:35,7,62,PO2,2017
7,SC Braga B,42,16,14,12,64:50,14,62,PO2,2017
8,SC Covilhã,42,15,17,10,51:41,10,62,PO2,2017
9,Varzim SC,42,17,10,15,45:48,-3,61,PO2,2017
10,CD Santa Clara,42,16,12,14,44:42,2,60,PO2,2017
11,Vitória Guimarães SC B,42,18,6,18,54:50,4,60,PO2,2017
12,FC Porto B,42,16,12,14,52:49,3,60,PO2,2017
13,Gil Vicente FC,42,13,17,12,47:49,-2,56,PO2,2017
14,Sporting CP B,42,15,10,17,64:62,2,55,PO2,2017
15,FC Famalicão,42,14,11,17,47:50,-3,53,PO2,2017
16,CD Cova Piedade,42,14,11,17,45:60,-15,53,PO2,2017
17,Académico Viseu FC,42,13,13,16,49:54,-5,52,PO2,2017
18,Leixões SC,42,10,16,16,44:48,-4,46,PO2,2017
19,FC Vizela,42,9,19,14,39:49,-10,46,PO2,2017
20,AD Fafe,42,11,12,19,52:65,-13,45,PO2,2017
21,SC Freamunde,42,9,13,20,39:52,-13,40,PO2,2017
22,SC Olhanense,42,7,7,28,45:83,-38,28,PO2,2017
